Year,UNIT_MULT,SOURCE_DETAIL,SDG Series,Economic activity,Unit of measure,Unit multiplier,Source details,BASE_PER,Base period,Value
2006,0,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",Carbon dioxide emissions per unit of GDP [9.4.1],,Kilograms per constant USD,Units,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",2017,2017,0.20083
2007,0,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",Carbon dioxide emissions per unit of GDP [9.4.1],,Kilograms per constant USD,Units,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",2017,2017,0.19195
2008,0,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",Carbon dioxide emissions per unit of GDP [9.4.1],,Kilograms per constant USD,Units,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",2017,2017,0.18739
2009,0,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",Carbon dioxide emissions per unit of GDP [9.4.1],,Kilograms per constant USD,Units,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",2017,2017,0.17728
2010,0,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",Carbon dioxide emissions per unit of GDP [9.4.1],,Kilograms per constant USD,Units,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",2017,2017,0.18014
2011,0,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",Carbon dioxide emissions per unit of GDP [9.4.1],,Kilograms per constant USD,Units,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",2017,2017,0.16347
2012,0,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",Carbon dioxide emissions per unit of GDP [9.4.1],,Kilograms per constant USD,Units,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",2017,2017,0.16926
2013,0,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",Carbon dioxide emissions per unit of GDP [9.4.1],,Kilograms per constant USD,Units,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",2017,2017,0.16052
2014,0,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",Carbon dioxide emissions per unit of GDP [9.4.1],,Kilograms per constant USD,Units,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",2017,2017,0.14303
2015,0,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",Carbon dioxide emissions per unit of GDP [9.4.1],,Kilograms per constant USD,Units,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",2017,2017,0.13473
