Year,Series,Sex,Age,Observation status,Unit multiplier,Value
2018,Percentile (2.5th),Male,19 to 64,Undefined,Units,1083.21566989753
2018,Percentile (2.5th),,19 to 64,Undefined,Units,876.494617151243
2018,Percentile (2.5th),Female,4 to 10,Undefined,Units,741.922547437294
2018,Percentile (2.5th),Male,4 to 10,Undefined,Units,925.640271191764
2018,Percentile (2.5th),,4 to 10,Undefined,Units,852.838003169569
2018,Percentile (2.5th),Female,65 and over,Undefined,Units,819.480704827723
2018,Percentile (2.5th),Male,65 and over,Undefined,Units,914.562817802562
2018,Percentile (2.5th),,65 and over,Undefined,Units,828.333463507056
2018,Percentile (2.5th),Female,65 to 74,Undefined,Units,770.384548917494
2018,Percentile (2.5th),Male,65 to 74,Undefined,Units,991.925686198726
2018,Percentile (2.5th),,65 to 74,Undefined,Units,879.942130975189
2018,Percentile (2.5th),Female,75 and over,Undefined,Units,820.499497347409
2018,Percentile (2.5th),Male,75 and over,Undefined,Units,597.4919
2018,Percentile (2.5th),,75 and over,Undefined,Units,805.325652473375
