Year,Observation status,Unit multiplier,Reporting type,SERIES,Type of product,UNIT_MEASURE,Base period,Value
2018,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Ferrous ores (material flows),Metric Tons,,0.17559
2019,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Ferrous ores (material flows),Metric Tons,,0.15193
2000,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-ferrous ores (material flows),Metric Tons,,0.02935
2001,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-ferrous ores (material flows),Metric Tons,,0.03683
2002,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-ferrous ores (material flows),Metric Tons,,0.05281
2003,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-ferrous ores (material flows),Metric Tons,,0.04465
2004,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-ferrous ores (material flows),Metric Tons,,0.0484
2005,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-ferrous ores (material flows),Metric Tons,,0.04792
2006,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-ferrous ores (material flows),Metric Tons,,0.04783
2007,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-ferrous ores (material flows),Metric Tons,,0.04195
2008,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-ferrous ores (material flows),Metric Tons,,0.03799
2009,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-ferrous ores (material flows),Metric Tons,,0.03173
2010,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-ferrous ores (material flows),Metric Tons,,0.03984
2011,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-ferrous ores (material flows),Metric Tons,,0.03865
2012,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-ferrous ores (material flows),Metric Tons,,0.02735
2013,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-ferrous ores (material flows),Metric Tons,,0.03438
2014,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-ferrous ores (material flows),Metric Tons,,0.015
2015,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-ferrous ores (material flows),Metric Tons,,0.02185
2016,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-ferrous ores (material flows),Metric Tons,,0.04147
2017,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-ferrous ores (material flows),Metric Tons,,0.05411
2018,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-ferrous ores (material flows),Metric Tons,,0.04392
2019,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-ferrous ores (material flows),Metric Tons,,0.04229
2000,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals (material flows),Metric Tons,,6.45455
2001,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals (material flows),Metric Tons,,6.60781
2002,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals (material flows),Metric Tons,,6.24664
2003,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals (material flows),Metric Tons,,6.09139
2004,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals (material flows),Metric Tons,,6.31847
2005,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals (material flows),Metric Tons,,6.07618
2006,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals (material flows),Metric Tons,,6.06338
2007,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals (material flows),Metric Tons,,6.02832
2008,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals (material flows),Metric Tons,,5.27147
2009,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals (material flows),Metric Tons,,4.20122
2010,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals (material flows),Metric Tons,,3.99226
2011,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals (material flows),Metric Tons,,4.16618
2012,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals (material flows),Metric Tons,,3.75503
2013,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals (material flows),Metric Tons,,3.73382
2014,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals (material flows),Metric Tons,,4.96364
2015,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals (material flows),Metric Tons,,5.2612
2016,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals (material flows),Metric Tons,,5.4875
2017,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals (material flows),Metric Tons,,5.40186
2018,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals (material flows),Metric Tons,,5.48322
2019,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals (material flows),Metric Tons,,5.43837
2000,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Fossil fuels (material flows),Metric Tons,,3.79383
2001,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Fossil fuels (material flows),Metric Tons,,3.89676
2002,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Fossil fuels (material flows),Metric Tons,,3.74552
2003,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Fossil fuels (material flows),Metric Tons,,3.73882
2004,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Fossil fuels (material flows),Metric Tons,,3.90187
2005,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Fossil fuels (material flows),Metric Tons,,3.82942
2006,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Fossil fuels (material flows),Metric Tons,,3.76333
2007,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Fossil fuels (material flows),Metric Tons,,3.54335
2008,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Fossil fuels (material flows),Metric Tons,,3.55838
2009,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Fossil fuels (material flows),Metric Tons,,3.22586
2010,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Fossil fuels (material flows),Metric Tons,,3.08188
2011,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Fossil fuels (material flows),Metric Tons,,2.99863
2012,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Fossil fuels (material flows),Metric Tons,,3.01878
2013,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Fossil fuels (material flows),Metric Tons,,2.91615
2014,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Fossil fuels (material flows),Metric Tons,,2.63429
2015,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Fossil fuels (material flows),Metric Tons,,2.25701
2016,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Fossil fuels (material flows),Metric Tons,,2.00034
2017,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Fossil fuels (material flows),Metric Tons,,1.95318
2018,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Fossil fuels (material flows),Metric Tons,,1.935
2019,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Fossil fuels (material flows),Metric Tons,,1.73646
2000,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Coal (material flows),Metric Tons,,1.04846
2001,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Coal (material flows),Metric Tons,,1.25426
2002,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Coal (material flows),Metric Tons,,1.07795
2003,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Coal (material flows),Metric Tons,,1.10019
2004,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Coal (material flows),Metric Tons,,1.1085
2005,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Coal (material flows),Metric Tons,,1.16075
2006,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Coal (material flows),Metric Tons,,1.23205
2007,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Coal (material flows),Metric Tons,,1.08752
2008,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Coal (material flows),Metric Tons,,1.07944
2009,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Coal (material flows),Metric Tons,,0.957
2010,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Coal (material flows),Metric Tons,,0.79182
2011,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Coal (material flows),Metric Tons,,0.87194
2012,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Coal (material flows),Metric Tons,,1.01752
2013,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Coal (material flows),Metric Tons,,1.06043
2014,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Coal (material flows),Metric Tons,,0.91375
2015,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Coal (material flows),Metric Tons,,0.53869
2016,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Coal (material flows),Metric Tons,,0.22648
2017,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Coal (material flows),Metric Tons,,0.20636
2018,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Coal (material flows),Metric Tons,,0.21601
2019,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Coal (material flows),Metric Tons,,0.14029
2000,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Oil shale and tar sands (material flows),Metric Tons,,0.0
2001,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Oil shale and tar sands (material flows),Metric Tons,,0.0
2002,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Oil shale and tar sands (material flows),Metric Tons,,0.0
2003,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Oil shale and tar sands (material flows),Metric Tons,,0.0
2004,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Oil shale and tar sands (material flows),Metric Tons,,0.0
2005,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Oil shale and tar sands (material flows),Metric Tons,,0.0
2006,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Oil shale and tar sands (material flows),Metric Tons,,0.0
2007,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Oil shale and tar sands (material flows),Metric Tons,,0.0
2008,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Oil shale and tar sands (material flows),Metric Tons,,0.0
2009,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Oil shale and tar sands (material flows),Metric Tons,,0.0
2010,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Oil shale and tar sands (material flows),Metric Tons,,0.0
2011,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Oil shale and tar sands (material flows),Metric Tons,,0.0
2012,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Oil shale and tar sands (material flows),Metric Tons,,0.0
2013,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Oil shale and tar sands (material flows),Metric Tons,,0.0
2014,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Oil shale and tar sands (material flows),Metric Tons,,0.0
2015,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Oil shale and tar sands (material flows),Metric Tons,,0.0
2016,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Oil shale and tar sands (material flows),Metric Tons,,0.0
2017,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Oil shale and tar sands (material flows),Metric Tons,,0.0
2018,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Oil shale and tar sands (material flows),Metric Tons,,0.0
2019,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Oil shale and tar sands (material flows),Metric Tons,,0.0
2000,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Petroleum (material flows),Metric Tons,,1.48861
2001,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Petroleum (material flows),Metric Tons,,1.4091
2002,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Petroleum (material flows),Metric Tons,,1.4457
2003,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Petroleum (material flows),Metric Tons,,1.43301
2004,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Petroleum (material flows),Metric Tons,,1.55977
2005,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Petroleum (material flows),Metric Tons,,1.48464
2006,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Petroleum (material flows),Metric Tons,,1.41112
2007,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Petroleum (material flows),Metric Tons,,1.34946
2008,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Petroleum (material flows),Metric Tons,,1.34316
2009,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Petroleum (material flows),Metric Tons,,1.22931
2010,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Petroleum (material flows),Metric Tons,,1.19499
2011,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Petroleum (material flows),Metric Tons,,1.19184
2012,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Petroleum (material flows),Metric Tons,,1.14822
2013,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Petroleum (material flows),Metric Tons,,1.01767
2014,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Petroleum (material flows),Metric Tons,,0.95836
2015,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Petroleum (material flows),Metric Tons,,0.94418
2016,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Petroleum (material flows),Metric Tons,,0.92579
2017,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Petroleum (material flows),Metric Tons,,0.92145
2018,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Petroleum (material flows),Metric Tons,,0.87405
2019,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Petroleum (material flows),Metric Tons,,0.80716
2000,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Natural gas (material flows),Metric Tons,,1.25675
2001,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Natural gas (material flows),Metric Tons,,1.23341
2002,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Natural gas (material flows),Metric Tons,,1.22186
2003,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Natural gas (material flows),Metric Tons,,1.20562
2004,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Natural gas (material flows),Metric Tons,,1.23359
2005,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Natural gas (material flows),Metric Tons,,1.18404
2006,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Natural gas (material flows),Metric Tons,,1.12017
2007,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Natural gas (material flows),Metric Tons,,1.10637
2008,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Natural gas (material flows),Metric Tons,,1.13577
2009,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Natural gas (material flows),Metric Tons,,1.03955
2010,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Natural gas (material flows),Metric Tons,,1.09507
2011,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Natural gas (material flows),Metric Tons,,0.93485
2012,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Natural gas (material flows),Metric Tons,,0.85304
2013,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Natural gas (material flows),Metric Tons,,0.83806
2014,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Natural gas (material flows),Metric Tons,,0.76219
2015,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Natural gas (material flows),Metric Tons,,0.77414
2016,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Natural gas (material flows),Metric Tons,,0.84807
2017,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Natural gas (material flows),Metric Tons,,0.82536
2018,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Natural gas (material flows),Metric Tons,,0.84494
2019,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Natural gas (material flows),Metric Tons,,0.78902
2000,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",,Kilograms per constant USD,2015,0.34854
2001,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",,Kilograms per constant USD,2015,0.34478
2002,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",,Kilograms per constant USD,2015,0.32778
2003,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",,Kilograms per constant USD,2015,0.31371
2004,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",,Kilograms per constant USD,2015,0.31785
2005,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",,Kilograms per constant USD,2015,0.30438
2006,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",,Kilograms per constant USD,2015,0.29567
2007,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",,Kilograms per constant USD,2015,0.28399
2008,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",,Kilograms per constant USD,2015,0.2711
2009,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",,Kilograms per constant USD,2015,0.24602
2010,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",,Kilograms per constant USD,2015,0.23497
2011,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",,Kilograms per constant USD,2015,0.23623
2012,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",,Kilograms per constant USD,2015,0.22348
2013,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",,Kilograms per constant USD,2015,0.22238
2014,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",,Kilograms per constant USD,2015,0.24199
2015,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",,Kilograms per constant USD,2015,0.23478
2016,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",,Kilograms per constant USD,2015,0.22852
2017,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",,Kilograms per constant USD,2015,0.22562
2018,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",,Kilograms per constant USD,2015,0.2225
2019,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",,Kilograms per constant USD,2015,0.2142
2000,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Kilograms per constant USD,2015,0.16033
2001,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Kilograms per constant USD,2015,0.16057
2002,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Kilograms per constant USD,2015,0.14855
2003,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Kilograms per constant USD,2015,0.14072
2004,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Kilograms per constant USD,2015,0.14392
2005,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Kilograms per constant USD,2015,0.13494
2006,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Kilograms per constant USD,2015,0.13216
2007,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Kilograms per constant USD,2015,0.1301
2008,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Kilograms per constant USD,2015,0.11495
2009,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Kilograms per constant USD,2015,0.09576
2010,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Kilograms per constant USD,2015,0.08885
2011,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Kilograms per constant USD,2015,0.09115
2012,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Kilograms per constant USD,2015,0.08136
2013,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Kilograms per constant USD,2015,0.07933
2014,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Kilograms per constant USD,2015,0.1065
2015,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Kilograms per constant USD,2015,0.11285
2016,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Kilograms per constant USD,2015,0.11684
2017,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Kilograms per constant USD,2015,0.11491
2018,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Kilograms per constant USD,2015,0.11551
2019,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Kilograms per constant USD,2015,0.11394
2000,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Kilograms per constant USD,2015,0.00762
2001,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Kilograms per constant USD,2015,0.00737
2002,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Kilograms per constant USD,2015,0.00737
2003,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Kilograms per constant USD,2015,0.00701
2004,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Kilograms per constant USD,2015,0.00668
2005,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Kilograms per constant USD,2015,0.0067
2006,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Kilograms per constant USD,2015,0.00669
2007,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Kilograms per constant USD,2015,0.00617
2008,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Kilograms per constant USD,2015,0.00588
