Year,Age,Observation status,Sex,Unit multiplier,Value
2014,65 to 74,Undefined,Female,Units,15.0
2014,75 and over,Undefined,Female,Units,25.5
2014,,Undefined,Male,Units,16.0
2014,15 and under,Undefined,Male,Units,19.2
2014,16 to 24,Undefined,Male,Units,21.2
2014,25 to 49,Undefined,Male,Units,13.8
2014,50 to 64,Undefined,Male,Units,14.7
2014,65 to 74,Undefined,Male,Units,12.0
2014,75 and over,Undefined,Male,Units,18.8
2015,,Undefined,,Units,16.6
2015,15 and under,Undefined,,Units,19.5
2015,16 to 24,Undefined,,Units,24.9
2015,25 to 49,Undefined,,Units,13.6
2015,50 to 64,Undefined,,Units,14.5
2015,65 to 74,Undefined,,Units,13.1
2015,75 and over,Undefined,,Units,20.8
2015,,Undefined,Female,Units,17.2
2015,15 and under,Undefined,Female,Units,20.9
2015,16 to 24,Undefined,Female,Units,25.5
2015,25 to 49,Undefined,Female,Units,13.6
2015,50 to 64,Undefined,Female,Units,14.9
2015,65 to 74,Undefined,Female,Units,13.4
2015,75 and over,Undefined,Female,Units,22.9
2015,,Undefined,Male,Units,16.1
2015,15 and under,Undefined,Male,Units,18.3
2015,16 to 24,Undefined,Male,Units,24.4
2015,25 to 49,Undefined,Male,Units,13.6
2015,50 to 64,Undefined,Male,Units,14.1
2015,65 to 74,Undefined,Male,Units,12.7
2015,75 and over,Undefined,Male,Units,18.1
2016,,Undefined,,Units,15.9
2016,15 and under,Undefined,,Units,18.1
2016,16 to 24,Undefined,,Units,19.9
2016,25 to 49,Undefined,,Units,13.3
2016,50 to 64,Undefined,,Units,14.7
2016,65 to 74,Undefined,,Units,13.7
2016,75 and over,Undefined,,Units,21.4
2016,,Undefined,Female,Units,16.5
2016,15 and under,Undefined,Female,Units,18.1
2016,16 to 24,Undefined,Female,Units,21.6
2016,25 to 49,Undefined,Female,Units,13.6
2016,50 to 64,Undefined,Female,Units,14.2
2016,65 to 74,Undefined,Female,Units,16.0
2016,75 and over,Undefined,Female,Units,23.4
2016,,Undefined,Male,Units,15.2
2016,15 and under,Undefined,Male,Units,18.1
2016,16 to 24,Undefined,Male,Units,18.2
2016,25 to 49,Undefined,Male,Units,12.9
2016,50 to 64,Undefined,Male,Units,15.1
2016,65 to 74,Undefined,Male,Units,11.3
2016,75 and over,Undefined,Male,Units,18.8
2017,,Undefined,,Units,17.0
2017,15 and under,Undefined,,Units,21.1
2017,16 to 24,Undefined,,Units,20.8
2017,25 to 49,Undefined,,Units,13.7
2017,50 to 64,Undefined,,Units,16.6
2017,65 to 74,Undefined,,Units,13.4
2017,75 and over,Undefined,,Units,21.3
2017,,Undefined,Female,Units,17.9
2017,15 and under,Undefined,Female,Units,21.0
2017,16 to 24,Undefined,Female,Units,21.8
2017,25 to 49,Undefined,Female,Units,15.2
2017,50 to 64,Undefined,Female,Units,16.3
2017,65 to 74,Undefined,Female,Units,14.3
2017,75 and over,Undefined,Female,Units,24.1
2017,,Undefined,Male,Units,16.1
2017,15 and under,Undefined,Male,Units,21.1
2017,16 to 24,Undefined,Male,Units,19.8
2017,25 to 49,Undefined,Male,Units,12.2
2017,50 to 64,Undefined,Male,Units,16.8
2017,65 to 74,Undefined,Male,Units,12.6
2017,75 and over,Undefined,Male,Units,17.6
2018,,Undefined,,Units,18.9
2018,15 and under,Undefined,,Units,23.9
2018,16 to 24,Undefined,,Units,24.0
2018,25 to 49,Undefined,,Units,15.2
2018,50 to 64,Undefined,,Units,17.2
2018,65 to 74,Undefined,,Units,15.4
2018,75 and over,Undefined,,Units,24.1
2018,,Undefined,Female,Units,20.1
2018,15 and under,Undefined,Female,Units,24.5
2018,16 to 24,Undefined,Female,Units,26.7
2018,25 to 49,Undefined,Female,Units,16.5
2018,50 to 64,Undefined,Female,Units,17.0
2018,65 to 74,Undefined,Female,Units,16.6
2018,75 and over,Undefined,Female,Units,27.4
2018,,Undefined,Male,Units,17.6
2018,15 and under,Undefined,Male,Units,23.3
2018,16 to 24,Undefined,Male,Units,21.4
2018,25 to 49,Undefined,Male,Units,13.8
2018,50 to 64,Undefined,Male,Units,17.4
2018,65 to 74,Undefined,Male,Units,14.2
2018,75 and over,Undefined,Male,Units,19.9
