Year,NATURE,SOURCE_DETAIL,SDG Series,Composite breakdown,Unit of measure,Nature of data points,Source details,Observation-level footnotes,COMMENT_OBS,Value
2006,C,Office of Communications (Ofcom).,Fixed broadband subscriptions (number) [17.6.1],,Number,Country Data,Ofcom,Excl. corporate connections.,Excl. corporate connections.,13013000.0
2007,C,Office of Communications (Ofcom).,Fixed broadband subscriptions (number) [17.6.1],,Number,Country Data,Ofcom,Excl. corporate connections.,Excl. corporate connections.,15606000.0
2008,C,Office of Communications,Fixed broadband subscriptions (number) [17.6.1],,Number,Country Data,Ofcom,Excl. corporate connections.,Excl. corporate connections.,17310023.0
2009,C,Office of Communications,Fixed broadband subscriptions (number) [17.6.1],,Number,Country Data,Ofcom,Excl. corporate connections.,Excl. corporate connections.,17877223.0
2010,C,Office of Communications,Fixed broadband subscriptions (number) [17.6.1],,Number,Country Data,Ofcom,Excl. corporate connections.,Excl. corporate connections.,19151508.0
2011,C,Office of Communications,Fixed broadband subscriptions (number) [17.6.1],,Number,Country Data,Ofcom,Excl. corporate connections.,Excl. corporate connections.,20588901.0
2012,C,Office of Communications,Fixed broadband subscriptions (number) [17.6.1],,Number,Country Data,Ofcom,Excl. corporate connections.,Excl. corporate connections.,21685668.0
2013,C,Office of Communications,Fixed broadband subscriptions (number) [17.6.1],,Number,Country Data,Ofcom,Excl. corporate connections.,,23039803.0
2014,C,Office of Communications,Fixed broadband subscriptions (number) [17.6.1],,Number,Country Data,Ofcom,Excl. corporate connections.,,23729800.0
2015,C,Office of Communications,Fixed broadband subscriptions (number) [17.6.1],,Number,Country Data,Ofcom,Excl. corporate connections.,,24663109.0
2016,C,Ofcom,Fixed broadband subscriptions (number) [17.6.1],,Number,Country Data,Ofcom,Excl. corporate connections.,,25473619.0
2017,C,Ofcom,Fixed broadband subscriptions (number) [17.6.1],,Number,Country Data,Ofcom,Excl. corporate connections.,,26043431.0
2018,C,Ofcom,Fixed broadband subscriptions (number) [17.6.1],,Number,Country Data,Ofcom,Excl. corporate connections.,,26586110.0
2019,C,Ofcom,Fixed broadband subscriptions (number) [17.6.1],,Number,Country Data,Ofcom,Excl. corporate connections.,,26786963.0
2008,C,Office of Communications,Fixed broadband subscriptions (number) [17.6.1],Internet speed: 256 kbit/s to less than 2 Mbit/s,Number,Country Data,Ofcom,Obs_Value = 0;  Estimated breakdown based on data for residential connections.,,837991.0
2009,C,Office of Communications,Fixed broadband subscriptions (number) [17.6.1],Internet speed: 256 kbit/s to less than 2 Mbit/s,Number,Country Data,Ofcom,Obs_Value = 0;  Estimated breakdown based on data for residential connections.,,396005.0
2010,C,Office of Communications,Fixed broadband subscriptions (number) [17.6.1],Internet speed: 256 kbit/s to less than 2 Mbit/s,Number,Country Data,Ofcom,Obs_Value = 0;  Estimated breakdown based on data for residential connections.,,242891.0
2011,C,Office of Communications,Fixed broadband subscriptions (number) [17.6.1],Internet speed: 256 kbit/s to less than 2 Mbit/s,Number,Country Data,Ofcom,Obs_Value = 0;  Estimated breakdown based on data for residential connections.,Obs_Value = 0;  Data only for ≤2 Mbit/s Considered most of these subscriptions are at 2 Mbit/s.,0.0
2012,E,ITU WTID2020,Fixed broadband subscriptions (number) [17.6.1],Internet speed: 256 kbit/s to less than 2 Mbit/s,Number,Country Data,Ofcom,Obs_Value = 0;  Estimated breakdown based on data for residential connections.,Obs_Value = 0;  Data only for ≤2 Mbit/s Considered most of these subscriptions are at 2 Mbit/s.,0.0
2013,C,Office of Communications,Fixed broadband subscriptions (number) [17.6.1],Internet speed: 256 kbit/s to less than 2 Mbit/s,Number,Country Data,Ofcom,Obs_Value = 0;  Estimated breakdown based on data for residential connections.,Obs_Value = 0;  Data only for ≤2 Mbit/s Considered most of these subscriptions are at 2 Mbit/s.,0.0
