Year,OBS_STATUS,UNIT_MULT,REPORTING_TYPE,SERIES,SEX,AGE,UNIT_MEASURE,Value
2000,A,0,G,SH_DYN_MORT,F,Y0T4,PER_1000_LIVE_BIRTHS,5.8
2001,A,0,G,SH_DYN_MORT,F,Y0T4,PER_1000_LIVE_BIRTHS,5.8
2002,A,0,G,SH_DYN_MORT,F,Y0T4,PER_1000_LIVE_BIRTHS,5.7
2003,A,0,G,SH_DYN_MORT,F,Y0T4,PER_1000_LIVE_BIRTHS,5.6
2004,A,0,G,SH_DYN_MORT,F,Y0T4,PER_1000_LIVE_BIRTHS,5.5
2005,A,0,G,SH_DYN_MORT,F,Y0T4,PER_1000_LIVE_BIRTHS,5.4
2006,A,0,G,SH_DYN_MORT,F,Y0T4,PER_1000_LIVE_BIRTHS,5.3
2007,A,0,G,SH_DYN_MORT,F,Y0T4,PER_1000_LIVE_BIRTHS,5.2
2008,A,0,G,SH_DYN_MORT,F,Y0T4,PER_1000_LIVE_BIRTHS,5.0
2009,A,0,G,SH_DYN_MORT,F,Y0T4,PER_1000_LIVE_BIRTHS,4.8
2010,A,0,G,SH_DYN_MORT,F,Y0T4,PER_1000_LIVE_BIRTHS,4.7
2011,A,0,G,SH_DYN_MORT,F,Y0T4,PER_1000_LIVE_BIRTHS,4.4
2012,A,0,G,SH_DYN_MORT,F,Y0T4,PER_1000_LIVE_BIRTHS,4.3
2013,A,0,G,SH_DYN_MORT,F,Y0T4,PER_1000_LIVE_BIRTHS,4.2
2014,A,0,G,SH_DYN_MORT,F,Y0T4,PER_1000_LIVE_BIRTHS,4.1
2015,A,0,G,SH_DYN_MORT,F,Y0T4,PER_1000_LIVE_BIRTHS,4.0
2016,A,0,G,SH_DYN_MORT,F,Y0T4,PER_1000_LIVE_BIRTHS,4.0
2017,A,0,G,SH_DYN_MORT,F,Y0T4,PER_1000_LIVE_BIRTHS,4.0
2018,A,0,G,SH_DYN_MORT,F,Y0T4,PER_1000_LIVE_BIRTHS,3.9
2019,A,0,G,SH_DYN_MORT,F,Y0T4,PER_1000_LIVE_BIRTHS,3.9
2020,A,0,G,SH_DYN_MORT,F,Y0T4,PER_1000_LIVE_BIRTHS,3.8
2000,A,0,G,SH_DYN_MORT,M,Y0T4,PER_1000_LIVE_BIRTHS,7.2
2001,A,0,G,SH_DYN_MORT,M,Y0T4,PER_1000_LIVE_BIRTHS,7.1
2002,A,0,G,SH_DYN_MORT,M,Y0T4,PER_1000_LIVE_BIRTHS,7.0
2003,A,0,G,SH_DYN_MORT,M,Y0T4,PER_1000_LIVE_BIRTHS,6.8
2004,A,0,G,SH_DYN_MORT,M,Y0T4,PER_1000_LIVE_BIRTHS,6.7
2005,A,0,G,SH_DYN_MORT,M,Y0T4,PER_1000_LIVE_BIRTHS,6.6
2006,A,0,G,SH_DYN_MORT,M,Y0T4,PER_1000_LIVE_BIRTHS,6.5
2007,A,0,G,SH_DYN_MORT,M,Y0T4,PER_1000_LIVE_BIRTHS,6.3
2008,A,0,G,SH_DYN_MORT,M,Y0T4,PER_1000_LIVE_BIRTHS,6.1
2009,A,0,G,SH_DYN_MORT,M,Y0T4,PER_1000_LIVE_BIRTHS,5.9
2010,A,0,G,SH_DYN_MORT,M,Y0T4,PER_1000_LIVE_BIRTHS,5.7
2011,A,0,G,SH_DYN_MORT,M,Y0T4,PER_1000_LIVE_BIRTHS,5.5
2012,A,0,G,SH_DYN_MORT,M,Y0T4,PER_1000_LIVE_BIRTHS,5.3
2013,A,0,G,SH_DYN_MORT,M,Y0T4,PER_1000_LIVE_BIRTHS,5.1
2014,A,0,G,SH_DYN_MORT,M,Y0T4,PER_1000_LIVE_BIRTHS,5.0
2015,A,0,G,SH_DYN_MORT,M,Y0T4,PER_1000_LIVE_BIRTHS,4.9
2016,A,0,G,SH_DYN_MORT,M,Y0T4,PER_1000_LIVE_BIRTHS,4.8
2017,A,0,G,SH_DYN_MORT,M,Y0T4,PER_1000_LIVE_BIRTHS,4.8
2018,A,0,G,SH_DYN_MORT,M,Y0T4,PER_1000_LIVE_BIRTHS,4.7
2019,A,0,G,SH_DYN_MORT,M,Y0T4,PER_1000_LIVE_BIRTHS,4.7
2020,A,0,G,SH_DYN_MORT,M,Y0T4,PER_1000_LIVE_BIRTHS,4.6
