Year,OBS_STATUS,UNIT_MULT,REPORTING_TYPE,SERIES,COMPOSITE_BREAKDOWN,UNIT_MEASURE,Value
2016,A,0,G,SG_INT_VRTDEV,IO_AFDB,PT,1.7519
2017,A,0,G,SG_INT_VRTDEV,IO_AFDB,PT,1.7519
2018,A,0,G,SG_INT_VRTDEV,IO_AFDB,PT,1.8106
2019,A,0,G,SG_INT_VRTDEV,IO_AFDB,PT,1.80802
2000,A,0,G,SG_INT_VRTDEV,IO_ECOSOC,PT,1.8519
2005,A,0,G,SG_INT_VRTDEV,IO_ECOSOC,PT,1.8519
2010,A,0,G,SG_INT_VRTDEV,IO_ECOSOC,PT,1.8519
2015,A,0,G,SG_INT_VRTDEV,IO_ECOSOC,PT,1.8519
2016,A,0,G,SG_INT_VRTDEV,IO_ECOSOC,PT,1.8519
2017,A,0,G,SG_INT_VRTDEV,IO_ECOSOC,PT,1.85185185185185
2018,A,0,G,SG_INT_VRTDEV,IO_ECOSOC,PT,1.8519
2019,A,0,G,SG_INT_VRTDEV,IO_ECOSOC,PT,1.85185
2021,A,0,G,SG_INT_VRTDEV,IO_ECOSOC,PT,1.85185
2010,A,0,G,SG_INT_VRTDEV,IO_FSB,PT,5.7692
2015,A,0,G,SG_INT_VRTDEV,IO_FSB,PT,5.2632
2016,A,0,G,SG_INT_VRTDEV,IO_FSB,PT,5.2632
2017,A,0,G,SG_INT_VRTDEV,IO_FSB,PT,5.2632
2018,A,0,G,SG_INT_VRTDEV,IO_FSB,PT,5.2632
2019,A,0,G,SG_INT_VRTDEV,IO_FSB,PT,5.2632
2020,A,0,G,SG_INT_VRTDEV,IO_FSB,PT,5.26316
2021,A,0,G,SG_INT_VRTDEV,IO_FSB,PT,5.17241379310345
2000,A,0,G,SG_INT_VRTDEV,IO_IADB,PT,0.964
2005,A,0,G,SG_INT_VRTDEV,IO_IADB,PT,0.964
2010,A,0,G,SG_INT_VRTDEV,IO_IADB,PT,0.964
2015,A,0,G,SG_INT_VRTDEV,IO_IADB,PT,0.964
2016,A,0,G,SG_INT_VRTDEV,IO_IADB,PT,0.964
2017,A,0,G,SG_INT_VRTDEV,IO_IADB,PT,0.964
2018,A,0,G,SG_INT_VRTDEV,IO_IADB,PT,0.964
2019,A,0,G,SG_INT_VRTDEV,IO_IADB,PT,0.964
2000,A,0,G,SG_INT_VRTDEV,IO_IBRD,PT,4.3271
2005,A,0,G,SG_INT_VRTDEV,IO_IBRD,PT,4.3028
2010,A,0,G,SG_INT_VRTDEV,IO_IBRD,PT,4.2958
2015,A,0,G,SG_INT_VRTDEV,IO_IBRD,PT,3.932
2016,A,0,G,SG_INT_VRTDEV,IO_IBRD,PT,3.94
2017,A,0,G,SG_INT_VRTDEV,IO_IBRD,PT,3.8595
2018,A,0,G,SG_INT_VRTDEV,IO_IBRD,PT,3.7787
