Year,SERIES,UNIT_MEASURE,PRODUCT,OBS_STATUS,UNIT_MULT,REPORTING_TYPE,BASE_PER,Value
2007,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF41,A,0,G,2015,0.02458
2008,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF41,A,0,G,2015,0.02474
2009,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF41,A,0,G,2015,0.02313
2010,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF41,A,0,G,2015,0.01894
2011,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF41,A,0,G,2015,0.02077
2012,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF41,A,0,G,2015,0.02409
2013,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF41,A,0,G,2015,0.02474
2014,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF41,A,0,G,2015,0.02087
2015,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF41,A,0,G,2015,0.0121
2016,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF41,A,0,G,2015,0.00503
2017,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF41,A,0,G,2015,0.00454
2018,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF41,A,0,G,2015,0.00472
2019,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF41,A,0,G,2015,0.00304
2000,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF413,A,0,G,2015,0.0
2001,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF413,A,0,G,2015,0.0
2002,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF413,A,0,G,2015,0.0
2003,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF413,A,0,G,2015,0.0
2004,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF413,A,0,G,2015,0.0
2005,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF413,A,0,G,2015,0.0
2006,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF413,A,0,G,2015,0.0
2007,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF413,A,0,G,2015,0.0
2008,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF413,A,0,G,2015,0.0
2009,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF413,A,0,G,2015,0.0
2010,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF413,A,0,G,2015,0.0
2011,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF413,A,0,G,2015,0.0
2012,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF413,A,0,G,2015,0.0
2013,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF413,A,0,G,2015,0.0
2014,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF413,A,0,G,2015,0.0
2015,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF413,A,0,G,2015,0.0
2016,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF413,A,0,G,2015,0.0
2017,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF413,A,0,G,2015,0.0
2018,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF413,A,0,G,2015,0.0
2019,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF413,A,0,G,2015,0.0
2000,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF421,A,0,G,2015,0.03874
2001,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF421,A,0,G,2015,0.03581
2002,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF421,A,0,G,2015,0.03608
2003,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF421,A,0,G,2015,0.03475
2004,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF421,A,0,G,2015,0.03718
2005,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF421,A,0,G,2015,0.03461
2006,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF421,A,0,G,2015,0.03231
2007,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF421,A,0,G,2015,0.0305
2008,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF421,A,0,G,2015,0.03079
2009,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF421,A,0,G,2015,0.02971
2010,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF421,A,0,G,2015,0.02858
2011,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF421,A,0,G,2015,0.02839
2012,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF421,A,0,G,2015,0.02718
2013,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF421,A,0,G,2015,0.02374
2014,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF421,A,0,G,2015,0.02188
2015,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF421,A,0,G,2015,0.0212
2016,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF421,A,0,G,2015,0.02057
2017,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF421,A,0,G,2015,0.02026
2018,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF421,A,0,G,2015,0.0191
2019,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF421,A,0,G,2015,0.01752
2000,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF422,A,0,G,2015,0.0327
2001,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF422,A,0,G,2015,0.03135
2002,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF422,A,0,G,2015,0.0305
2003,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF422,A,0,G,2015,0.02924
2004,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF422,A,0,G,2015,0.0294
2005,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF422,A,0,G,2015,0.0276
2006,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF422,A,0,G,2015,0.02565
2007,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF422,A,0,G,2015,0.02501
2008,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF422,A,0,G,2015,0.02603
2009,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF422,A,0,G,2015,0.02512
2010,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF422,A,0,G,2015,0.02619
2011,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF422,A,0,G,2015,0.02227
2012,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF422,A,0,G,2015,0.02019
2013,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF422,A,0,G,2015,0.01955
2014,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF422,A,0,G,2015,0.0174
2015,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF422,A,0,G,2015,0.01738
2016,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF422,A,0,G,2015,0.01885
2017,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF422,A,0,G,2015,0.01815
2018,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF422,A,0,G,2015,0.01846
2019,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF422,A,0,G,2015,0.01712
2000,EN_MAT_DOMCMPT,T,,A,0,G,,809735769.15472
2001,EN_MAT_DOMCMPT,T,,A,0,G,,843136053.28986
2002,EN_MAT_DOMCMPT,T,,A,0,G,,805722329.70605
2003,EN_MAT_DOMCMPT,T,,A,0,G,,800489799.59037
2004,EN_MAT_DOMCMPT,T,,A,0,G,,818600009.58785
2005,EN_MAT_DOMCMPT,T,,A,0,G,,807612914.39052
2006,EN_MAT_DOMCMPT,T,,A,0,G,,825640265.53532
2007,EN_MAT_DOMCMPT,T,,A,0,G,,826238342.80923
2008,EN_MAT_DOMCMPT,T,,A,0,G,,765089461.01824
2009,EN_MAT_DOMCMPT,T,,A,0,G,,679041940.86791
2010,EN_MAT_DOMCMPT,T,,A,0,G,,660503063.81795
2011,EN_MAT_DOMCMPT,T,,A,0,G,,656993815.88633
2012,EN_MAT_DOMCMPT,T,,A,0,G,,645528837.0695
2013,EN_MAT_DOMCMPT,T,,A,0,G,,642300551.76569
2014,EN_MAT_DOMCMPT,T,,A,0,G,,725229719.364
2015,EN_MAT_DOMCMPT,T,,A,0,G,,723633056.64487
2016,EN_MAT_DOMCMPT,T,,A,0,G,,724831290.63855
2017,EN_MAT_DOMCMPT,T,,A,0,G,,751086407.33645
2018,EN_MAT_DOMCMPT,T,,A,0,G,,754360502.84312
2019,EN_MAT_DOMCMPT,T,,A,0,G,,742849871.71633
2000,EN_MAT_DOMCMPT,T,MF_AGG3A,A,0,G,,363061372.328
2001,EN_MAT_DOMCMPT,T,MF_AGG3A,A,0,G,,373528177.982
2002,EN_MAT_DOMCMPT,T,MF_AGG3A,A,0,G,,353083339.704
2003,EN_MAT_DOMCMPT,T,MF_AGG3A,A,0,G,,345586315.737
2004,EN_MAT_DOMCMPT,T,MF_AGG3A,A,0,G,,361521546.116
2005,EN_MAT_DOMCMPT,T,MF_AGG3A,A,0,G,,348993437.899
2006,EN_MAT_DOMCMPT,T,MF_AGG3A,A,0,G,,351014773.025
2007,EN_MAT_DOMCMPT,T,MF_AGG3A,A,0,G,,353702512.424
2008,EN_MAT_DOMCMPT,T,MF_AGG3A,A,0,G,,311644513.069
2009,EN_MAT_DOMCMPT,T,MF_AGG3A,A,0,G,,248927064.69
2010,EN_MAT_DOMCMPT,T,MF_AGG3A,A,0,G,,235769521.208
2011,EN_MAT_DOMCMPT,T,MF_AGG3A,A,0,G,,244948089.982
2012,EN_MAT_DOMCMPT,T,MF_AGG3A,A,0,G,,221754114.0575
2013,EN_MAT_DOMCMPT,T,MF_AGG3A,A,0,G,,220958357.37204
2014,EN_MAT_DOMCMPT,T,MF_AGG3A,A,0,G,,305128281.819
2015,EN_MAT_DOMCMPT,T,MF_AGG3A,A,0,G,,330977658.94945
2016,EN_MAT_DOMCMPT,T,MF_AGG3A,A,0,G,,348553978.26594
2017,EN_MAT_DOMCMPT,T,MF_AGG3A,A,0,G,,348768837.77408
2018,EN_MAT_DOMCMPT,T,MF_AGG3A,A,0,G,,354996771.06371
2019,EN_MAT_DOMCMPT,T,MF_AGG3A,A,0,G,,354587855.58264
2000,EN_MAT_DOMCMPT,T,MF_AGG3B,A,0,G,,17261880.75611
2001,EN_MAT_DOMCMPT,T,MF_AGG3B,A,0,G,,17153578.709
2002,EN_MAT_DOMCMPT,T,MF_AGG3B,A,0,G,,17506860.61622
2003,EN_MAT_DOMCMPT,T,MF_AGG3B,A,0,G,,17225682.58189
2004,EN_MAT_DOMCMPT,T,MF_AGG3B,A,0,G,,16782534.83489
2005,EN_MAT_DOMCMPT,T,MF_AGG3B,A,0,G,,17327001.445
2006,EN_MAT_DOMCMPT,T,MF_AGG3B,A,0,G,,17768190.08289
2007,EN_MAT_DOMCMPT,T,MF_AGG3B,A,0,G,,16769047.99456
2008,EN_MAT_DOMCMPT,T,MF_AGG3B,A,0,G,,15951765.63433
2009,EN_MAT_DOMCMPT,T,MF_AGG3B,A,0,G,,15030016.18933
2010,EN_MAT_DOMCMPT,T,MF_AGG3B,A,0,G,,17578272.27233
2011,EN_MAT_DOMCMPT,T,MF_AGG3B,A,0,G,,21779073.73567
2012,EN_MAT_DOMCMPT,T,MF_AGG3B,A,0,G,,20540051.966
2013,EN_MAT_DOMCMPT,T,MF_AGG3B,A,0,G,,21680390.89
2014,EN_MAT_DOMCMPT,T,MF_AGG3B,A,0,G,,19607888.19
2015,EN_MAT_DOMCMPT,T,MF_AGG3B,A,0,G,,15525964.90844
2016,EN_MAT_DOMCMPT,T,MF_AGG3B,A,0,G,,15256010.76344
2017,EN_MAT_DOMCMPT,T,MF_AGG3B,A,0,G,,11683880.11011
2018,EN_MAT_DOMCMPT,T,MF_AGG3B,A,0,G,,13156119.80556
2019,EN_MAT_DOMCMPT,T,MF_AGG3B,A,0,G,,12666375.92822
2000,EN_MAT_DOMCMPT,T,MF1,A,0,G,,180875424.23
2001,EN_MAT_DOMCMPT,T,MF1,A,0,G,,172255099.975
2002,EN_MAT_DOMCMPT,T,MF1,A,0,G,,177490377.587
2003,EN_MAT_DOMCMPT,T,MF1,A,0,G,,174892242.232
2004,EN_MAT_DOMCMPT,T,MF1,A,0,G,,178530236.732
2005,EN_MAT_DOMCMPT,T,MF1,A,0,G,,179517049.46
2006,EN_MAT_DOMCMPT,T,MF1,A,0,G,,176697231.313
2007,EN_MAT_DOMCMPT,T,MF1,A,0,G,,172641996.437
2008,EN_MAT_DOMCMPT,T,MF1,A,0,G,,179785950.196
2009,EN_MAT_DOMCMPT,T,MF1,A,0,G,,173367611.565
2010,EN_MAT_DOMCMPT,T,MF1,A,0,G,,170770993.273
2011,EN_MAT_DOMCMPT,T,MF1,A,0,G,,175116059.974
2012,EN_MAT_DOMCMPT,T,MF1,A,0,G,,168325217.146
2013,EN_MAT_DOMCMPT,T,MF1,A,0,G,,176493941.866
2014,EN_MAT_DOMCMPT,T,MF1,A,0,G,,183662933.848
2015,EN_MAT_DOMCMPT,T,MF1,A,0,G,,179493360.335
2016,EN_MAT_DOMCMPT,T,MF1,A,0,G,,172228709.279
2017,EN_MAT_DOMCMPT,T,MF1,A,0,G,,183513312.045
2018,EN_MAT_DOMCMPT,T,MF1,A,0,G,,176854006.001
2019,EN_MAT_DOMCMPT,T,MF1,A,0,G,,175052899.41184
2000,EN_MAT_DOMCMPT,T,MF11,A,0,G,,55482015.0
2001,EN_MAT_DOMCMPT,T,MF11,A,0,G,,54954517.0
2002,EN_MAT_DOMCMPT,T,MF11,A,0,G,,58931699.0
2003,EN_MAT_DOMCMPT,T,MF11,A,0,G,,54364694.0
2004,EN_MAT_DOMCMPT,T,MF11,A,0,G,,57294073.0
2005,EN_MAT_DOMCMPT,T,MF11,A,0,G,,56679710.0
2006,EN_MAT_DOMCMPT,T,MF11,A,0,G,,55363989.0
2007,EN_MAT_DOMCMPT,T,MF11,A,0,G,,54032718.0
2008,EN_MAT_DOMCMPT,T,MF11,A,0,G,,59949120.0
2009,EN_MAT_DOMCMPT,T,MF11,A,0,G,,57672923.0
2010,EN_MAT_DOMCMPT,T,MF11,A,0,G,,53599300.0
2011,EN_MAT_DOMCMPT,T,MF11,A,0,G,,57521003.0
2012,EN_MAT_DOMCMPT,T,MF11,A,0,G,,54141908.0
2013,EN_MAT_DOMCMPT,T,MF11,A,0,G,,61064238.0
2014,EN_MAT_DOMCMPT,T,MF11,A,0,G,,64107558.0
2015,EN_MAT_DOMCMPT,T,MF11,A,0,G,,59452161.0
2016,EN_MAT_DOMCMPT,T,MF11,A,0,G,,54087768.0
2017,EN_MAT_DOMCMPT,T,MF11,A,0,G,,64391321.0
2018,EN_MAT_DOMCMPT,T,MF11,A,0,G,,59269047.0
2019,EN_MAT_DOMCMPT,T,MF11,A,0,G,,58167709.12857
2000,EN_MAT_DOMCMPT,T,MF121,A,0,G,,18809828.5
2001,EN_MAT_DOMCMPT,T,MF121,A,0,G,,15500654.63
2002,EN_MAT_DOMCMPT,T,MF121,A,0,G,,18641876.26
2003,EN_MAT_DOMCMPT,T,MF121,A,0,G,,18040041.56
2004,EN_MAT_DOMCMPT,T,MF121,A,0,G,,18289766.16
2005,EN_MAT_DOMCMPT,T,MF121,A,0,G,,17970783.42
2006,EN_MAT_DOMCMPT,T,MF121,A,0,G,,17702946.51
2007,EN_MAT_DOMCMPT,T,MF121,A,0,G,,16672638.72
2008,EN_MAT_DOMCMPT,T,MF121,A,0,G,,20094203.25
2009,EN_MAT_DOMCMPT,T,MF121,A,0,G,,18229701.53
2010,EN_MAT_DOMCMPT,T,MF121,A,0,G,,18124102.36
2011,EN_MAT_DOMCMPT,T,MF121,A,0,G,,19095378.45
2012,EN_MAT_DOMCMPT,T,MF121,A,0,G,,17319954.59
2013,EN_MAT_DOMCMPT,T,MF121,A,0,G,,17205945.99
2014,EN_MAT_DOMCMPT,T,MF121,A,0,G,,20740950.17
2015,EN_MAT_DOMCMPT,T,MF121,A,0,G,,21050815.8
2016,EN_MAT_DOMCMPT,T,MF121,A,0,G,,18095899.7
2017,EN_MAT_DOMCMPT,T,MF121,A,0,G,,19342418.2
2018,EN_MAT_DOMCMPT,T,MF121,A,0,G,,17754434.6
2019,EN_MAT_DOMCMPT,T,MF121,A,0,G,,17851282.6605
2000,EN_MAT_DOMCMPT,T,MF122,A,0,G,,92371059.4
2001,EN_MAT_DOMCMPT,T,MF122,A,0,G,,85938181.8
2002,EN_MAT_DOMCMPT,T,MF122,A,0,G,,83929081.4
2003,EN_MAT_DOMCMPT,T,MF122,A,0,G,,85021707.0
2004,EN_MAT_DOMCMPT,T,MF122,A,0,G,,85303412.0
2005,EN_MAT_DOMCMPT,T,MF122,A,0,G,,86329681.8
2006,EN_MAT_DOMCMPT,T,MF122,A,0,G,,84969277.0
2007,EN_MAT_DOMCMPT,T,MF122,A,0,G,,82877728.0
2008,EN_MAT_DOMCMPT,T,MF122,A,0,G,,81221846.0
2009,EN_MAT_DOMCMPT,T,MF122,A,0,G,,79726209.0
2010,EN_MAT_DOMCMPT,T,MF122,A,0,G,,80033785.0
2011,EN_MAT_DOMCMPT,T,MF122,A,0,G,,79291234.0
2012,EN_MAT_DOMCMPT,T,MF122,A,0,G,,79494842.0
2013,EN_MAT_DOMCMPT,T,MF122,A,0,G,,79528479.0
2014,EN_MAT_DOMCMPT,T,MF122,A,0,G,,80053368.0
2015,EN_MAT_DOMCMPT,T,MF122,A,0,G,,80302382.0
2016,EN_MAT_DOMCMPT,T,MF122,A,0,G,,81394573.6
2017,EN_MAT_DOMCMPT,T,MF122,A,0,G,,81755983.2
2018,EN_MAT_DOMCMPT,T,MF122,A,0,G,,80502132.2
2019,EN_MAT_DOMCMPT,T,MF122,A,0,G,,80162894.96357
2000,EN_MAT_DOMCMPT,T,MF13,A,0,G,,14961080.0
2001,EN_MAT_DOMCMPT,T,MF13,A,0,G,,15186940.2
2002,EN_MAT_DOMCMPT,T,MF13,A,0,G,,14535724.92
2003,EN_MAT_DOMCMPT,T,MF13,A,0,G,,13953433.28
2004,EN_MAT_DOMCMPT,T,MF13,A,0,G,,13213987.68
2005,EN_MAT_DOMCMPT,T,MF13,A,0,G,,13762723.36
2006,EN_MAT_DOMCMPT,T,MF13,A,0,G,,12209394.52
2007,EN_MAT_DOMCMPT,T,MF13,A,0,G,,12113944.12
2008,EN_MAT_DOMCMPT,T,MF13,A,0,G,,10549745.44
2009,EN_MAT_DOMCMPT,T,MF13,A,0,G,,9852647.52
2010,EN_MAT_DOMCMPT,T,MF13,A,0,G,,11250001.24
2011,EN_MAT_DOMCMPT,T,MF13,A,0,G,,10071894.8
2012,EN_MAT_DOMCMPT,T,MF13,A,0,G,,11906123.32
2013,EN_MAT_DOMCMPT,T,MF13,A,0,G,,16257855.36
2014,EN_MAT_DOMCMPT,T,MF13,A,0,G,,19677324.52
2015,EN_MAT_DOMCMPT,T,MF13,A,0,G,,23616174.68
2016,EN_MAT_DOMCMPT,T,MF13,A,0,G,,24365647.24
2017,EN_MAT_DOMCMPT,T,MF13,A,0,G,,25193258.8
2018,EN_MAT_DOMCMPT,T,MF13,A,0,G,,27763077.92
2019,EN_MAT_DOMCMPT,T,MF13,A,0,G,,29509086.33643
2000,EN_MAT_DOMCMPT,T,MF14,A,0,G,,794628.0
2001,EN_MAT_DOMCMPT,T,MF14,A,0,G,,843123.0
2002,EN_MAT_DOMCMPT,T,MF14,A,0,G,,797657.0
2003,EN_MAT_DOMCMPT,T,MF14,A,0,G,,651624.0
2004,EN_MAT_DOMCMPT,T,MF14,A,0,G,,630080.0
2005,EN_MAT_DOMCMPT,T,MF14,A,0,G,,654572.0
2006,EN_MAT_DOMCMPT,T,MF14,A,0,G,,772198.0
2007,EN_MAT_DOMCMPT,T,MF14,A,0,G,,614698.0
2008,EN_MAT_DOMCMPT,T,MF14,A,0,G,,620140.0
2009,EN_MAT_DOMCMPT,T,MF14,A,0,G,,528370.0
2010,EN_MAT_DOMCMPT,T,MF14,A,0,G,,363451.0
2011,EN_MAT_DOMCMPT,T,MF14,A,0,G,,425529.0
2012,EN_MAT_DOMCMPT,T,MF14,A,0,G,,414811.0
2013,EN_MAT_DOMCMPT,T,MF14,A,0,G,,376856.0
2014,EN_MAT_DOMCMPT,T,MF14,A,0,G,,172839.0
2015,EN_MAT_DOMCMPT,T,MF14,A,0,G,,186229.0
2016,EN_MAT_DOMCMPT,T,MF14,A,0,G,,341497.0
2017,EN_MAT_DOMCMPT,T,MF14,A,0,G,,254090.0
2018,EN_MAT_DOMCMPT,T,MF14,A,0,G,,322649.0
2019,EN_MAT_DOMCMPT,T,MF14,A,0,G,,299351.95377
2000,EN_MAT_DOMCMPT,T,MF2,A,0,G,,21600837.60361
2001,EN_MAT_DOMCMPT,T,MF2,A,0,G,,23354799.08486
2002,EN_MAT_DOMCMPT,T,MF2,A,0,G,,24094119.86183
2003,EN_MAT_DOMCMPT,T,MF2,A,0,G,,24683887.70848
2004,EN_MAT_DOMCMPT,T,MF2,A,0,G,,23204963.01296
2005,EN_MAT_DOMCMPT,T,MF2,A,0,G,,23993087.36852
2006,EN_MAT_DOMCMPT,T,MF2,A,0,G,,26068222.05843
2007,EN_MAT_DOMCMPT,T,MF2,A,0,G,,27785939.96067
2008,EN_MAT_DOMCMPT,T,MF2,A,0,G,,21660979.88591
2009,EN_MAT_DOMCMPT,T,MF2,A,0,G,,12193988.24558
2010,EN_MAT_DOMCMPT,T,MF2,A,0,G,,17918327.84261
2011,EN_MAT_DOMCMPT,T,MF2,A,0,G,,17327567.40967
2012,EN_MAT_DOMCMPT,T,MF2,A,0,G,,15619612.87601
2013,EN_MAT_DOMCMPT,T,MF2,A,0,G,,18576748.17265
2014,EN_MAT_DOMCMPT,T,MF2,A,0,G,,19306485.523
2015,EN_MAT_DOMCMPT,T,MF2,A,0,G,,18680316.40798
2016,EN_MAT_DOMCMPT,T,MF2,A,0,G,,20305963.31017
2017,EN_MAT_DOMCMPT,T,MF2,A,0,G,,18743163.03525
2018,EN_MAT_DOMCMPT,T,MF2,A,0,G,,18478213.51185
2019,EN_MAT_DOMCMPT,T,MF2,A,0,G,,17231684.83078
2000,EN_MAT_DOMCMPT,T,MF21,A,0,G,,17215651.641
2001,EN_MAT_DOMCMPT,T,MF21,A,0,G,,17379255.834
2002,EN_MAT_DOMCMPT,T,MF21,A,0,G,,16605507.537
2003,EN_MAT_DOMCMPT,T,MF21,A,0,G,,18196262.527
2004,EN_MAT_DOMCMPT,T,MF21,A,0,G,,17678674.652
2005,EN_MAT_DOMCMPT,T,MF21,A,0,G,,17589448.661
2006,EN_MAT_DOMCMPT,T,MF21,A,0,G,,18694798.758
2007,EN_MAT_DOMCMPT,T,MF21,A,0,G,,19176291.835
2008,EN_MAT_DOMCMPT,T,MF21,A,0,G,,15744217.207
2009,EN_MAT_DOMCMPT,T,MF21,A,0,G,,7760802.299
2010,EN_MAT_DOMCMPT,T,MF21,A,0,G,,11804979.138
2011,EN_MAT_DOMCMPT,T,MF21,A,0,G,,11586800.334
2012,EN_MAT_DOMCMPT,T,MF21,A,0,G,,11437617.751
2013,EN_MAT_DOMCMPT,T,MF21,A,0,G,,13250189.145
2014,EN_MAT_DOMCMPT,T,MF21,A,0,G,,14358507.76
2015,EN_MAT_DOMCMPT,T,MF21,A,0,G,,12942604.222
2016,EN_MAT_DOMCMPT,T,MF21,A,0,G,,13478140.834
2017,EN_MAT_DOMCMPT,T,MF21,A,0,G,,11375026.549
2018,EN_MAT_DOMCMPT,T,MF21,A,0,G,,11789680.961
2019,EN_MAT_DOMCMPT,T,MF21,A,0,G,,10260061.517
2000,EN_MAT_DOMCMPT,T,MF22,A,0,G,,1729473.11061
2001,EN_MAT_DOMCMPT,T,MF22,A,0,G,,2177769.33586
2002,EN_MAT_DOMCMPT,T,MF22,A,0,G,,3132931.71283
2003,EN_MAT_DOMCMPT,T,MF22,A,0,G,,2659491.22448
2004,EN_MAT_DOMCMPT,T,MF22,A,0,G,,2898090.37396
2005,EN_MAT_DOMCMPT,T,MF22,A,0,G,,2889102.18852
2006,EN_MAT_DOMCMPT,T,MF22,A,0,G,,2908996.35743
2007,EN_MAT_DOMCMPT,T,MF22,A,0,G,,2577909.40167
2008,EN_MAT_DOMCMPT,T,MF22,A,0,G,,2360819.37091
2009,EN_MAT_DOMCMPT,T,MF22,A,0,G,,1993423.19758
2010,EN_MAT_DOMCMPT,T,MF22,A,0,G,,2528302.82661
2011,EN_MAT_DOMCMPT,T,MF22,A,0,G,,2474192.12367
2012,EN_MAT_DOMCMPT,T,MF22,A,0,G,,1764992.78801
2013,EN_MAT_DOMCMPT,T,MF22,A,0,G,,2234331.45265
2014,EN_MAT_DOMCMPT,T,MF22,A,0,G,,981478.695
2015,EN_MAT_DOMCMPT,T,MF22,A,0,G,,1439270.22298
2016,EN_MAT_DOMCMPT,T,MF22,A,0,G,,2749469.47517
2017,EN_MAT_DOMCMPT,T,MF22,A,0,G,,3610620.29425
2018,EN_MAT_DOMCMPT,T,MF22,A,0,G,,2948642.41885
2019,EN_MAT_DOMCMPT,T,MF22,A,0,G,,2856179.07178
2000,EN_MAT_DOMCMPT,T,MF3,A,0,G,,381086998.24411
2001,EN_MAT_DOMCMPT,T,MF3,A,0,G,,391744412.011
2002,EN_MAT_DOMCMPT,T,MF3,A,0,G,,371743554.32022
2003,EN_MAT_DOMCMPT,T,MF3,A,0,G,,365097709.68889
2004,EN_MAT_DOMCMPT,T,MF3,A,0,G,,379836863.82089
2005,EN_MAT_DOMCMPT,T,MF3,A,0,G,,367295138.514
2006,EN_MAT_DOMCMPT,T,MF3,A,0,G,,370794445.46789
2007,EN_MAT_DOMCMPT,T,MF3,A,0,G,,372948934.59856
2008,EN_MAT_DOMCMPT,T,MF3,A,0,G,,330526204.07333
2009,EN_MAT_DOMCMPT,T,MF3,A,0,G,,262377397.47933
2010,EN_MAT_DOMCMPT,T,MF3,A,0,G,,257082097.63533
2011,EN_MAT_DOMCMPT,T,MF3,A,0,G,,270227715.11167
2012,EN_MAT_DOMCMPT,T,MF3,A,0,G,,244252744.5035
2013,EN_MAT_DOMCMPT,T,MF3,A,0,G,,246672501.86904
2014,EN_MAT_DOMCMPT,T,MF3,A,0,G,,330476057.705
2015,EN_MAT_DOMCMPT,T,MF3,A,0,G,,351850362.84789
2016,EN_MAT_DOMCMPT,T,MF3,A,0,G,,370045741.62939
2017,EN_MAT_DOMCMPT,T,MF3,A,0,G,,366398194.0262
2018,EN_MAT_DOMCMPT,T,MF3,A,0,G,,376503201.04227
2019,EN_MAT_DOMCMPT,T,MF3,A,0,G,,376172596.92986
2000,EN_MAT_DOMCMPT,T,MF4,A,0,G,,221290487.423
2001,EN_MAT_DOMCMPT,T,MF4,A,0,G,,233352990.082
2002,EN_MAT_DOMCMPT,T,MF4,A,0,G,,219015618.785
2003,EN_MAT_DOMCMPT,T,MF4,A,0,G,,220772413.973
2004,EN_MAT_DOMCMPT,T,MF4,A,0,G,,225829226.662
2005,EN_MAT_DOMCMPT,T,MF4,A,0,G,,227106318.224
2006,EN_MAT_DOMCMPT,T,MF4,A,0,G,,231827017.326
2007,EN_MAT_DOMCMPT,T,MF4,A,0,G,,219036804.497
2008,EN_MAT_DOMCMPT,T,MF4,A,0,G,,220351451.995
2009,EN_MAT_DOMCMPT,T,MF4,A,0,G,,203003392.674
2010,EN_MAT_DOMCMPT,T,MF4,A,0,G,,197651403.127
2011,EN_MAT_DOMCMPT,T,MF4,A,0,G,,190480230.647
2012,EN_MAT_DOMCMPT,T,MF4,A,0,G,,194117550.96
2013,EN_MAT_DOMCMPT,T,MF4,A,0,G,,195110685.251
2014,EN_MAT_DOMCMPT,T,MF4,A,0,G,,183493277.837
2015,EN_MAT_DOMCMPT,T,MF4,A,0,G,,162423115.507
