Year,COMMENT_OBS,SERIES,CUST_BREAKDOWN,CUST_BREAKDOWN_LB,Value
2016,Third quarter of the specified year.,SI_RMT_COST_BC,C834,United Republic of Tanzania,11.64004
2017,Third quarter of the specified year.,SI_RMT_COST_BC,C834,United Republic of Tanzania,9.47947
2018,Third quarter of the specified year.,SI_RMT_COST_BC,C834,United Republic of Tanzania,9.7573
2019,Third quarter of the specified year.,SI_RMT_COST_BC,C834,United Republic of Tanzania,9.46688
2016,Third quarter of the specified year.,SI_RMT_COST_BC,C894,Zambia,9.05203
2017,Third quarter of the specified year.,SI_RMT_COST_BC,C894,Zambia,11.37147
2018,Third quarter of the specified year.,SI_RMT_COST_BC,C894,Zambia,9.97353
2019,Third quarter of the specified year.,SI_RMT_COST_BC,C894,Zambia,9.41576
2016,Third quarter of the specified year. Global SmaRT Average: 4.47%.,SI_RMT_COST_SC,C04,Afghanistan,12.78288
2017,Third quarter of the specified year. Global SmaRT Average: 4.47%.,SI_RMT_COST_SC,C04,Afghanistan,14.5117
2018,Third quarter of the specified year. Global SmaRT Average: 4.47%.,SI_RMT_COST_SC,C04,Afghanistan,11.20569
2019,Third quarter of the specified year. Global SmaRT Average: 4.47%.,SI_RMT_COST_SC,C04,Afghanistan,11.43922
2016,Third quarter of the specified year. Global SmaRT Average: 4.47%.,SI_RMT_COST_SC,C08,Albania,9.27843
2017,Third quarter of the specified year. Global SmaRT Average: 4.47%.,SI_RMT_COST_SC,C08,Albania,7.23656
2018,Third quarter of the specified year. Global SmaRT Average: 4.47%.,SI_RMT_COST_SC,C08,Albania,8.49355
2019,Third quarter of the specified year. Global SmaRT Average: 4.47%.,SI_RMT_COST_SC,C08,Albania,7.99398
2016,Third quarter of the specified year. Global SmaRT Average: 4.47%.,SI_RMT_COST_SC,C100,Bulgaria,10.77386
2017,Third quarter of the specified year. Global SmaRT Average: 4.47%.,SI_RMT_COST_SC,C100,Bulgaria,1.93778
2018,Third quarter of the specified year. Global SmaRT Average: 4.47%.,SI_RMT_COST_SC,C100,Bulgaria,2.86917
2019,Third quarter of the specified year. Global SmaRT Average: 4.47%.,SI_RMT_COST_SC,C100,Bulgaria,1.63477
2016,Third quarter of the specified year. Global SmaRT Average: 4.47%.,SI_RMT_COST_SC,C144,Sri Lanka,6.14107
2017,Third quarter of the specified year. Global SmaRT Average: 4.47%.,SI_RMT_COST_SC,C144,Sri Lanka,1.41164
2018,Third quarter of the specified year. Global SmaRT Average: 4.47%.,SI_RMT_COST_SC,C144,Sri Lanka,1.99126
2019,Third quarter of the specified year. Global SmaRT Average: 4.47%.,SI_RMT_COST_SC,C144,Sri Lanka,1.69574
