Year,Age,Sex,Disability status,Ethnicity,Ethnic group,Employment status,Region,Local Authority,Observation status,Unit multiplier,GeoCode,Value
2017,,,,,,,Yorkshire and the Humber,North and North East Lincolnshire,Undefined,Units,,83.9
2018,,,,,,,Yorkshire and the Humber,North and North East Lincolnshire,Undefined,Units,,82.6
2019,,,,,,,Yorkshire and the Humber,North and North East Lincolnshire,Undefined,Units,,86.9
2020,,,,,,,Yorkshire and the Humber,North and North East Lincolnshire,Undefined,Units,,88.9
2013,,,,,,,Yorkshire and the Humber,North Yorkshire CC,Undefined,Units,,82.7
2014,,,,,,,Yorkshire and the Humber,North Yorkshire CC,Undefined,Units,,84.6
2015,,,,,,,Yorkshire and the Humber,North Yorkshire CC,Undefined,Units,,89.0
2016,,,,,,,Yorkshire and the Humber,North Yorkshire CC,Undefined,Units,,84.2
2017,,,,,,,Yorkshire and the Humber,North Yorkshire CC,Undefined,Units,,85.8
2018,,,,,,,Yorkshire and the Humber,North Yorkshire CC,Undefined,Units,,85.3
2019,,,,,,,Yorkshire and the Humber,North Yorkshire CC,Undefined,Units,,90.0
2020,,,,,,,Yorkshire and the Humber,North Yorkshire CC,Undefined,Units,,91.4
2013,,,,,,,Yorkshire and the Humber,Sheffield,Undefined,Units,E08000019,82.1
2014,,,,,,,Yorkshire and the Humber,Sheffield,Undefined,Units,E08000019,83.1
2015,,,,,,,Yorkshire and the Humber,Sheffield,Undefined,Units,E08000019,83.4
2016,,,,,,,Yorkshire and the Humber,Sheffield,Undefined,Units,E08000019,88.4
2017,,,,,,,Yorkshire and the Humber,Sheffield,Undefined,Units,E08000019,86.6
2018,,,,,,,Yorkshire and the Humber,Sheffield,Undefined,Units,E08000019,89.7
2019,,,,,,,Yorkshire and the Humber,Sheffield,Undefined,Units,E08000019,89.2
2020,,,,,,,Yorkshire and the Humber,Sheffield,Undefined,Units,E08000019,91.7
2017,,,,,,,Yorkshire and the Humber,Wakefield,Undefined,Units,E08000036,87.6
2018,,,,,,,Yorkshire and the Humber,Wakefield,Undefined,Units,E08000036,87.3
2019,,,,,,,Yorkshire and the Humber,Wakefield,Undefined,Units,E08000036,89.6
2020,,,,,,,Yorkshire and the Humber,Wakefield,Undefined,Units,E08000036,94.8
2013,,,,,,,Yorkshire and the Humber,York,Undefined,Units,E06000014,91.8
2014,,,,,,,Yorkshire and the Humber,York,Undefined,Units,E06000014,86.8
2015,,,,,,,Yorkshire and the Humber,York,Undefined,Units,E06000014,83.3
2016,,,,,,,Yorkshire and the Humber,York,Undefined,Units,E06000014,87.1
2017,,,,,,,Yorkshire and the Humber,York,Undefined,Units,E06000014,85.9
2018,,,,,,,Yorkshire and the Humber,York,Undefined,Units,E06000014,88.6
2019,,,,,,,Yorkshire and the Humber,York,Undefined,Units,E06000014,92.7
2020,,,,,,,Yorkshire and the Humber,York,Undefined,Units,E06000014,91.8
2013,,,,,,,Yorkshire and the Humber,,Undefined,Units,,82.4
2014,,,,,,,Yorkshire and the Humber,,Undefined,Units,,83.6
2015,,,,,,,Yorkshire and the Humber,,Undefined,Units,,85.3
2016,,,,,,,Yorkshire and the Humber,,Undefined,Units,,85.9
2017,,,,,,,Yorkshire and the Humber,,Undefined,Units,,86.8
2018,,,,,,,Yorkshire and the Humber,,Undefined,Units,,87.9
2019,,,,,,,Yorkshire and the Humber,,Undefined,Units,,89.8
2020,,,,,,,Yorkshire and the Humber,,Undefined,Units,,90.7
2012,,,,,,Employed,,,Undefined,Units,,94.4
2013,,,,,,Employed,,,Undefined,Units,,95.6
2014,,,,,,Employed,,,Undefined,Units,,96.3
2015,,,,,,Employed,,,Undefined,Units,,96.9
2016,,,,,,Employed,,,Undefined,Units,,97.7
2017,,,,,,Employed,,,Undefined,Units,,98.1
2018,,,,,,Employed,,,Undefined,Units,,98.3
2019,,,,,,Employed,,,Undefined,Units,,98.7
2020,,,,,,Employed,,,Undefined,Units,,99.0
2012,,,,,,Government employment & training programmes,,,Undefined,Units,,91.6
2013,,,,,,Government employment & training programmes,,,Undefined,Units,,92.2
2014,,,,,,Government employment & training programmes,,,Undefined,Units,,93.9
2015,,,,,,Government employment & training programmes,,,Undefined,Units,,92.4
2016,,,,,,Government employment & training programmes,,,Undefined,Units,,92.5
2017,,,,,,Government employment & training programmes,,,Undefined,Units,,97.0
2018,,,,,,Government employment & training programmes,,,Undefined,Units,,98.8
2019,,,,,,Government employment & training programmes,,,Undefined,Units,,98.4
2020,,,,,,Government employment & training programmes,,,Undefined,Units,,99.6
2012,,,,,,Inactive,,,Undefined,Units,,71.5
2013,,,,,,Inactive,,,Undefined,Units,,75.6
2014,,,,,,Inactive,,,Undefined,Units,,78.7
2015,,,,,,Inactive,,,Undefined,Units,,81.5
2016,,,,,,Inactive,,,Undefined,Units,,83.4
2017,,,,,,Inactive,,,Undefined,Units,,85.8
2018,,,,,,Inactive,,,Undefined,Units,,87.9
2019,,,,,,Inactive,,,Undefined,Units,,88.7
2020,,,,,,Inactive,,,Undefined,Units,,90.3
2012,,,,,,Retired,,,Undefined,Units,,43.2
2013,,,,,,Retired,,,Undefined,Units,,48.1
2014,,,,,,Retired,,,Undefined,Units,,51.8
2015,,,,,,Retired,,,Undefined,Units,,54.5
2016,,,,,,Retired,,,Undefined,Units,,58.9
2017,,,,,,Retired,,,Undefined,Units,,61.4
2018,,,,,,Retired,,,Undefined,Units,,64.3
2019,,,,,,Retired,,,Undefined,Units,,66.8
2020,,,,,,Retired,,,Undefined,Units,,71.1
2012,,,,,,Self-employed,,,Undefined,Units,,90.9
2013,,,,,,Self-employed,,,Undefined,Units,,92.8
2014,,,,,,Self-employed,,,Undefined,Units,,93.7
2015,,,,,,Self-employed,,,Undefined,Units,,95.0
2016,,,,,,Self-employed,,,Undefined,Units,,95.8
2017,,,,,,Self-employed,,,Undefined,Units,,96.4
2018,,,,,,Self-employed,,,Undefined,Units,,97.1
2019,,,,,,Self-employed,,,Undefined,Units,,97.7
2020,,,,,,Self-employed,,,Undefined,Units,,98.0
2012,,,,,,Student,,,Undefined,Units,,98.8
2013,,,,,,Student,,,Undefined,Units,,99.0
2014,,,,,,Student,,,Undefined,Units,,99.5
2015,,,,,,Student,,,Undefined,Units,,99.1
2016,,,,,,Student,,,Undefined,Units,,99.2
2017,,,,,,Student,,,Undefined,Units,,99.5
2018,,,,,,Student,,,Undefined,Units,,99.5
2019,,,,,,Student,,,Undefined,Units,,99.3
2020,,,,,,Student,,,Undefined,Units,,99.4
2012,,,,,,Unemployed,,,Undefined,Units,,90.8
2013,,,,,,Unemployed,,,Undefined,Units,,92.6
2014,,,,,,Unemployed,,,Undefined,Units,,94.6
2015,,,,,,Unemployed,,,Undefined,Units,,94.9
2016,,,,,,Unemployed,,,Undefined,Units,,96.0
2017,,,,,,Unemployed,,,Undefined,Units,,96.9
2018,,,,,,Unemployed,,,Undefined,Units,,97.2
2019,,,,,,Unemployed,,,Undefined,Units,,97.4
2020,,,,,,Unemployed,,,Undefined,Units,,98.5
2012,,,,,,Unpaid family worker,,,Undefined,Units,,85.9
2013,,,,,,Unpaid family worker,,,Undefined,Units,,83.4
2014,,,,,,Unpaid family worker,,,Undefined,Units,,86.0
2015,,,,,,Unpaid family worker,,,Undefined,Units,,89.5
2016,,,,,,Unpaid family worker,,,Undefined,Units,,89.0
2017,,,,,,Unpaid family worker,,,Undefined,Units,,90.6
2018,,,,,,Unpaid family worker,,,Undefined,Units,,94.6
2019,,,,,,Unpaid family worker,,,Undefined,Units,,96.7
2020,,,,,,Unpaid family worker,,,Undefined,Units,,93.5
2014,,,Not disabled (GSS harmonised),,,,,,Undefined,Units,,90.8
2014,16 to 24,,Not disabled (GSS harmonised),,,,,,Undefined,Units,,99.2
2014,25 to 34,,Not disabled (GSS harmonised),,,,,,Undefined,Units,,98.8
2014,35 to 44,,Not disabled (GSS harmonised),,,,,,Undefined,Units,,97.9
2014,45 to 54,,Not disabled (GSS harmonised),,,,,,Undefined,Units,,95.0
2014,55 to 64,,Not disabled (GSS harmonised),,,,,,Undefined,Units,,88.9
2014,65 to 74,,Not disabled (GSS harmonised),,,,,,Undefined,Units,,71.2
2014,75 and over,,Not disabled (GSS harmonised),,,,,,Undefined,Units,,39.3
2015,,,Not disabled (GSS harmonised),,,,,,Undefined,Units,,91.7
2015,16 to 24,,Not disabled (GSS harmonised),,,,,,Undefined,Units,,99.3
2015,25 to 34,,Not disabled (GSS harmonised),,,,,,Undefined,Units,,99.0
2015,35 to 44,,Not disabled (GSS harmonised),,,,,,Undefined,Units,,98.2
2015,45 to 54,,Not disabled (GSS harmonised),,,,,,Undefined,Units,,95.8
2015,55 to 64,,Not disabled (GSS harmonised),,,,,,Undefined,Units,,91.0
2015,65 to 74,,Not disabled (GSS harmonised),,,,,,Undefined,Units,,76.1
2015,75 and over,,Not disabled (GSS harmonised),,,,,,Undefined,Units,,40.0
2016,,,Not disabled (GSS harmonised),,,,,,Undefined,Units,,92.9
2016,16 to 24,,Not disabled (GSS harmonised),,,,,,Undefined,Units,,99.4
2016,25 to 34,,Not disabled (GSS harmonised),,,,,,Undefined,Units,,99.3
2016,35 to 44,,Not disabled (GSS harmonised),,,,,,Undefined,Units,,98.9
2016,45 to 54,,Not disabled (GSS harmonised),,,,,,Undefined,Units,,96.8
2016,55 to 64,,Not disabled (GSS harmonised),,,,,,Undefined,Units,,92.5
2016,65 to 74,,Not disabled (GSS harmonised),,,,,,Undefined,Units,,79.1
2016,75 and over,,Not disabled (GSS harmonised),,,,,,Undefined,Units,,48.1
2017,,,Not disabled (GSS harmonised),,,,,,Undefined,Units,,93.6
2017,16 to 24,,Not disabled (GSS harmonised),,,,,,Undefined,Units,,99.5
2017,25 to 34,,Not disabled (GSS harmonised),,,,,,Undefined,Units,,99.4
2017,35 to 44,,Not disabled (GSS harmonised),,,,,,Undefined,Units,,99.1
2017,45 to 54,,Not disabled (GSS harmonised),,,,,,Undefined,Units,,97.9
2017,55 to 64,,Not disabled (GSS harmonised),,,,,,Undefined,Units,,93.8
2017,65 to 74,,Not disabled (GSS harmonised),,,,,,Undefined,Units,,82.2
2017,75 and over,,Not disabled (GSS harmonised),,,,,,Undefined,Units,,48.1
2018,,,Not disabled (GSS harmonised),,,,,,Undefined,Units,,93.9
2018,16 to 24,,Not disabled (GSS harmonised),,,,,,Undefined,Units,,99.4
2018,25 to 34,,Not disabled (GSS harmonised),,,,,,Undefined,Units,,99.4
2018,35 to 44,,Not disabled (GSS harmonised),,,,,,Undefined,Units,,99.1
2018,45 to 54,,Not disabled (GSS harmonised),,,,,,Undefined,Units,,98.2
2018,55 to 64,,Not disabled (GSS harmonised),,,,,,Undefined,Units,,94.8
2018,65 to 74,,Not disabled (GSS harmonised),,,,,,Undefined,Units,,83.9
2018,75 and over,,Not disabled (GSS harmonised),,,,,,Undefined,Units,,48.9
2019,,,Not disabled (GSS harmonised),,,,,,Undefined,Units,,94.8
2019,16 to 24,,Not disabled (GSS harmonised),,,,,,Undefined,Units,,99.4
2019,25 to 34,,Not disabled (GSS harmonised),,,,,,Undefined,Units,,99.6
2019,35 to 44,,Not disabled (GSS harmonised),,,,,,Undefined,Units,,99.3
2019,45 to 54,,Not disabled (GSS harmonised),,,,,,Undefined,Units,,98.7
2019,55 to 64,,Not disabled (GSS harmonised),,,,,,Undefined,Units,,95.9
2019,65 to 74,,Not disabled (GSS harmonised),,,,,,Undefined,Units,,87.2
2019,75 and over,,Not disabled (GSS harmonised),,,,,,Undefined,Units,,54.1
2020,,,Not disabled (GSS harmonised),,,,,,Undefined,Units,,95.7
2020,16 to 24,,Not disabled (GSS harmonised),,,,,,Undefined,Units,,99.7
2020,25 to 34,,Not disabled (GSS harmonised),,,,,,Undefined,Units,,99.8
2020,35 to 44,,Not disabled (GSS harmonised),,,,,,Undefined,Units,,99.6
2020,45 to 54,,Not disabled (GSS harmonised),,,,,,Undefined,Units,,98.9
2020,55 to 64,,Not disabled (GSS harmonised),,,,,,Undefined,Units,,96.9
2020,65 to 74,,Not disabled (GSS harmonised),,,,,,Undefined,Units,,89.0
2020,75 and over,,Not disabled (GSS harmonised),,,,,,Undefined,Units,,62.1
2014,,,Disabled (GSS harmonised),,,,,,Undefined,Units,,64.9
2014,16 to 24,,Disabled (GSS harmonised),,,,,,Undefined,Units,,95.7
2014,25 to 34,,Disabled (GSS harmonised),,,,,,Undefined,Units,,94.0
2014,35 to 44,,Disabled (GSS harmonised),,,,,,Undefined,Units,,89.9
2014,45 to 54,,Disabled (GSS harmonised),,,,,,Undefined,Units,,80.9
2014,55 to 64,,Disabled (GSS harmonised),,,,,,Undefined,Units,,72.3
2014,65 to 74,,Disabled (GSS harmonised),,,,,,Undefined,Units,,55.4
2014,75 and over,,Disabled (GSS harmonised),,,,,,Undefined,Units,,25.8
2015,,,Disabled (GSS harmonised),,,,,,Undefined,Units,,67.8
2015,16 to 24,,Disabled (GSS harmonised),,,,,,Undefined,Units,,95.2
2015,25 to 34,,Disabled (GSS harmonised),,,,,,Undefined,Units,,95.2
2015,35 to 44,,Disabled (GSS harmonised),,,,,,Undefined,Units,,92.0
2015,45 to 54,,Disabled (GSS harmonised),,,,,,Undefined,Units,,85.0
2015,55 to 64,,Disabled (GSS harmonised),,,,,,Undefined,Units,,76.0
2015,65 to 74,,Disabled (GSS harmonised),,,,,,Undefined,Units,,60.5
2015,75 and over,,Disabled (GSS harmonised),,,,,,Undefined,Units,,27.4
2016,,,Disabled (GSS harmonised),,,,,,Undefined,Units,,71.0
2016,16 to 24,,Disabled (GSS harmonised),,,,,,Undefined,Units,,97.3
2016,25 to 34,,Disabled (GSS harmonised),,,,,,Undefined,Units,,96.2
2016,35 to 44,,Disabled (GSS harmonised),,,,,,Undefined,Units,,94.6
2016,45 to 54,,Disabled (GSS harmonised),,,,,,Undefined,Units,,87.4
2016,55 to 64,,Disabled (GSS harmonised),,,,,,Undefined,Units,,77.6
2016,65 to 74,,Disabled (GSS harmonised),,,,,,Undefined,Units,,65.0
2016,75 and over,,Disabled (GSS harmonised),,,,,,Undefined,Units,,30.8
2017,,,Disabled (GSS harmonised),,,,,,Undefined,Units,,73.4
2017,16 to 24,,Disabled (GSS harmonised),,,,,,Undefined,Units,,97.1
2017,25 to 34,,Disabled (GSS harmonised),,,,,,Undefined,Units,,96.9
2017,35 to 44,,Disabled (GSS harmonised),,,,,,Undefined,Units,,94.8
2017,45 to 54,,Disabled (GSS harmonised),,,,,,Undefined,Units,,89.2
2017,55 to 64,,Disabled (GSS harmonised),,,,,,Undefined,Units,,80.4
2017,65 to 74,,Disabled (GSS harmonised),,,,,,Undefined,Units,,69.4
2017,75 and over,,Disabled (GSS harmonised),,,,,,Undefined,Units,,34.0
2018,,,Disabled (GSS harmonised),,,,,,Undefined,Units,,76.6
2018,16 to 24,,Disabled (GSS harmonised),,,,,,Undefined,Units,,98.0
2018,25 to 34,,Disabled (GSS harmonised),,,,,,Undefined,Units,,98.0
2018,35 to 44,,Disabled (GSS harmonised),,,,,,Undefined,Units,,95.9
2018,45 to 54,,Disabled (GSS harmonised),,,,,,Undefined,Units,,91.6
2018,55 to 64,,Disabled (GSS harmonised),,,,,,Undefined,Units,,83.9
2018,65 to 74,,Disabled (GSS harmonised),,,,,,Undefined,Units,,73.5
2018,75 and over,,Disabled (GSS harmonised),,,,,,Undefined,Units,,38.8
2019,,,Disabled (GSS harmonised),,,,,,Undefined,Units,,78.3
2019,16 to 24,,Disabled (GSS harmonised),,,,,,Undefined,Units,,98.0
2019,25 to 34,,Disabled (GSS harmonised),,,,,,Undefined,Units,,98.1
2019,35 to 44,,Disabled (GSS harmonised),,,,,,Undefined,Units,,96.8
2019,45 to 54,,Disabled (GSS harmonised),,,,,,Undefined,Units,,92.8
2019,55 to 64,,Disabled (GSS harmonised),,,,,,Undefined,Units,,86.4
2019,65 to 74,,Disabled (GSS harmonised),,,,,,Undefined,Units,,75.8
2019,75 and over,,Disabled (GSS harmonised),,,,,,Undefined,Units,,40.7
2020,,,Disabled (GSS harmonised),,,,,,Undefined,Units,,81.4
2020,16 to 24,,Disabled (GSS harmonised),,,,,,Undefined,Units,,98.6
2020,25 to 34,,Disabled (GSS harmonised),,,,,,Undefined,Units,,98.0
2020,35 to 44,,Disabled (GSS harmonised),,,,,,Undefined,Units,,96.4
2020,45 to 54,,Disabled (GSS harmonised),,,,,,Undefined,Units,,94.4
2020,55 to 64,,Disabled (GSS harmonised),,,,,,Undefined,Units,,88.8
2020,65 to 74,,Disabled (GSS harmonised),,,,,,Undefined,Units,,79.4
2020,75 and over,,Disabled (GSS harmonised),,,,,,Undefined,Units,,47.0
2012,16 to 24,Female,,,,,,,Undefined,Units,,97.6
2012,25 to 34,Female,,,,,,,Undefined,Units,,96.5
2012,35 to 44,Female,,,,,,,Undefined,Units,,94.0
2012,45 to 54,Female,,,,,,,Undefined,Units,,87.4
2012,55 to 64,Female,,,,,,,Undefined,Units,,76.3
2012,65 to 74,Female,,,,,,,Undefined,Units,,51.2
2012,75 and over,Female,,,,,,,Undefined,Units,,17.6
2012,,Female,,,,,,,Undefined,Units,,78.4
2013,16 to 24,Female,,,,,,,Undefined,Units,,98.3
2013,25 to 34,Female,,,,,,,Undefined,Units,,98.0
2013,35 to 44,Female,,,,,,,Undefined,Units,,96.0
2013,45 to 54,Female,,,,,,,Undefined,Units,,90.0
2013,55 to 64,Female,,,,,,,Undefined,Units,,80.4
2013,65 to 74,Female,,,,,,,Undefined,Units,,56.3
2013,75 and over,Female,,,,,,,Undefined,Units,,22.3
2013,,Female,,,,,,,Undefined,Units,,81.0
2014,16 to 24,Female,,,,,,,Undefined,Units,,99.0
2014,25 to 34,Female,,,,,,,Undefined,Units,,98.4
2014,35 to 44,Female,,,,,,,Undefined,Units,,96.6
2014,45 to 54,Female,,,,,,,Undefined,Units,,92.6
2014,55 to 64,Female,,,,,,,Undefined,Units,,83.0
2014,65 to 74,Female,,,,,,,Undefined,Units,,62.3
2014,75 and over,Female,,,,,,,Undefined,Units,,25.1
2014,,Female,,,,,,,Undefined,Units,,83.0
2015,16 to 24,Female,,,,,,,Undefined,Units,,98.9
2015,25 to 34,Female,,,,,,,Undefined,Units,,98.6
2015,35 to 44,Female,,,,,,,Undefined,Units,,97.5
2015,45 to 54,Female,,,,,,,Undefined,Units,,93.6
2015,55 to 64,Female,,,,,,,Undefined,Units,,86.8
2015,65 to 74,Female,,,,,,,Undefined,Units,,68.4
2015,75 and over,Female,,,,,,,Undefined,Units,,27.3
2015,,Female,,,,,,,Undefined,Units,,84.6
2016,16 to 24,Female,,,,,,,Undefined,Units,,99.4
2016,25 to 34,Female,,,,,,,Undefined,Units,,99.1
2016,35 to 44,Female,,,,,,,Undefined,Units,,98.3
2016,45 to 54,Female,,,,,,,Undefined,Units,,94.9
2016,55 to 64,Female,,,,,,,Undefined,Units,,88.3
2016,65 to 74,Female,,,,,,,Undefined,Units,,72.5
2016,75 and over,Female,,,,,,,Undefined,Units,,32.6
2016,,Female,,,,,,,Undefined,Units,,86.4
2017,16 to 24,Female,,,,,,,Undefined,Units,,99.2
2017,25 to 34,Female,,,,,,,Undefined,Units,,99.1
2017,35 to 44,Female,,,,,,,Undefined,Units,,98.5
2017,45 to 54,Female,,,,,,,Undefined,Units,,96.3
2017,55 to 64,Female,,,,,,,Undefined,Units,,90.2
2017,65 to 74,Female,,,,,,,Undefined,Units,,76.0
2017,75 and over,Female,,,,,,,Undefined,Units,,35.4
2017,,Female,,,,,,,Undefined,Units,,87.6
2018,16 to 24,Female,,,,,,,Undefined,Units,,99.6
2018,25 to 34,Female,,,,,,,Undefined,Units,,99.3
2018,35 to 44,Female,,,,,,,Undefined,Units,,98.6
2018,45 to 54,Female,,,,,,,Undefined,Units,,97.2
2018,55 to 64,Female,,,,,,,Undefined,Units,,92.0
2018,65 to 74,Female,,,,,,,Undefined,Units,,78.9
2018,75 and over,Female,,,,,,,Undefined,Units,,37.6
2018,,Female,,,,,,,Undefined,Units,,88.6
2019,16 to 24,Female,,,,,,,Undefined,Units,,99.5
2019,25 to 34,Female,,,,,,,Undefined,Units,,99.5
2019,35 to 44,Female,,,,,,,Undefined,Units,,98.9
2019,45 to 54,Female,,,,,,,Undefined,Units,,97.5
2019,55 to 64,Female,,,,,,,Undefined,Units,,93.4
2019,65 to 74,Female,,,,,,,Undefined,Units,,82.4
2019,75 and over,Female,,,,,,,Undefined,Units,,41.4
2019,,Female,,,,,,,Undefined,Units,,89.6
2020,16 to 24,Female,,,,,,,Undefined,Units,,99.5
2020,25 to 34,Female,,,,,,,Undefined,Units,,99.6
2020,35 to 44,Female,,,,,,,Undefined,Units,,99.2
2020,45 to 54,Female,,,,,,,Undefined,Units,,98.4
2020,55 to 64,Female,,,,,,,Undefined,Units,,94.6
2020,65 to 74,Female,,,,,,,Undefined,Units,,84.4
2020,75 and over,Female,,,,,,,Undefined,Units,,49.8
2020,,Female,,,,,,,Undefined,Units,,91.1
2012,16 to 24,Male,,,,,,,Undefined,Units,,97.7
2012,25 to 34,Male,,,,,,,Undefined,Units,,96.8
2012,35 to 44,Male,,,,,,,Undefined,Units,,94.4
2012,45 to 54,Male,,,,,,,Undefined,Units,,88.3
2012,55 to 64,Male,,,,,,,Undefined,Units,,79.6
2012,65 to 74,Male,,,,,,,Undefined,Units,,61.7
2012,75 and over,Male,,,,,,,Undefined,Units,,30.2
2012,,Male,,,,,,,Undefined,Units,,83.5
2013,16 to 24,Male,,,,,,,Undefined,Units,,98.3
2013,25 to 34,Male,,,,,,,Undefined,Units,,97.3
2013,35 to 44,Male,,,,,,,Undefined,Units,,95.7
2013,45 to 54,Male,,,,,,,Undefined,Units,,90.5
2013,55 to 64,Male,,,,,,,Undefined,Units,,82.2
2013,65 to 74,Male,,,,,,,Undefined,Units,,66.3
2013,75 and over,Male,,,,,,,Undefined,Units,,38.4
2013,,Male,,,,,,,Undefined,Units,,85.6
2014,16 to 24,Male,,,,,,,Undefined,Units,,98.7
2014,25 to 34,Male,,,,,,,Undefined,Units,,98.3
2014,35 to 44,Male,,,,,,,Undefined,Units,,96.7
2014,45 to 54,Male,,,,,,,Undefined,Units,,91.9
2014,55 to 64,Male,,,,,,,Undefined,Units,,85.4
2014,65 to 74,Male,,,,,,,Undefined,Units,,68.9
2014,75 and over,Male,,,,,,,Undefined,Units,,41.1
2014,,Male,,,,,,,Undefined,Units,,87.1
2015,16 to 24,Male,,,,,,,Undefined,Units,,98.8
2015,25 to 34,Male,,,,,,,Undefined,Units,,98.6
2015,35 to 44,Male,,,,,,,Undefined,Units,,97.1
2015,45 to 54,Male,,,,,,,Undefined,Units,,93.7
2015,55 to 64,Male,,,,,,,Undefined,Units,,86.5
2015,65 to 74,Male,,,,,,,Undefined,Units,,73.0
2015,75 and over,Male,,,,,,,Undefined,Units,,40.7
2015,,Male,,,,,,,Undefined,Units,,87.9
2016,16 to 24,Male,,,,,,,Undefined,Units,,99.0
2016,25 to 34,Male,,,,,,,Undefined,Units,,98.8
2016,35 to 44,Male,,,,,,,Undefined,Units,,98.1
2016,45 to 54,Male,,,,,,,Undefined,Units,,95.0
2016,55 to 64,Male,,,,,,,Undefined,Units,,88.2
2016,65 to 74,Male,,,,,,,Undefined,Units,,75.8
2016,75 and over,Male,,,,,,,Undefined,Units,,46.7
2016,,Male,,,,,,,Undefined,Units,,89.4
2017,16 to 24,Male,,,,,,,Undefined,Units,,99.1
2017,25 to 34,Male,,,,,,,Undefined,Units,,99.1
2017,35 to 44,Male,,,,,,,Undefined,Units,,98.3
2017,45 to 54,Male,,,,,,,Undefined,Units,,96.0
2017,55 to 64,Male,,,,,,,Undefined,Units,,89.9
2017,65 to 74,Male,,,,,,,Undefined,Units,,79.1
2017,75 and over,Male,,,,,,,Undefined,Units,,47.2
2017,,Male,,,,,,,Undefined,Units,,90.2
2018,16 to 24,Male,,,,,,,Undefined,Units,,99.0
2018,25 to 34,Male,,,,,,,Undefined,Units,,99.2
2018,35 to 44,Male,,,,,,,Undefined,Units,,98.6
2018,45 to 54,Male,,,,,,,Undefined,Units,,96.4
2018,55 to 64,Male,,,,,,,Undefined,Units,,91.5
2018,65 to 74,Male,,,,,,,Undefined,Units,,81.6
2018,75 and over,Male,,,,,,,Undefined,Units,,51.3
2018,,Male,,,,,,,Undefined,Units,,91.1
2019,16 to 24,Male,,,,,,,Undefined,Units,,98.9
2019,25 to 34,Male,,,,,,,Undefined,Units,,99.3
2019,35 to 44,Male,,,,,,,Undefined,Units,,99.0
2019,45 to 54,Male,,,,,,,Undefined,Units,,97.5
2019,55 to 64,Male,,,,,,,Undefined,Units,,92.9
2019,65 to 74,Male,,,,,,,Undefined,Units,,84.0
2019,75 and over,Male,,,,,,,Undefined,Units,,53.6
2019,,Male,,,,,,,Undefined,Units,,92.0
2020,16 to 24,Male,,,,,,,Undefined,Units,,99.5
2020,25 to 34,Male,,,,,,,Undefined,Units,,99.4
2020,35 to 44,Male,,,,,,,Undefined,Units,,99.0
2020,45 to 54,Male,,,,,,,Undefined,Units,,97.4
2020,55 to 64,Male,,,,,,,Undefined,Units,,94.5
2020,65 to 74,Male,,,,,,,Undefined,Units,,86.6
2020,75 and over,Male,,,,,,,Undefined,Units,,59.4
2020,,Male,,,,,,,Undefined,Units,,93.1
2012,,,,,,,,,Undefined,Units,,80.9
2012,16 to 24,,,,,,,,Undefined,Units,,97.6
2012,25 to 34,,,,,,,,Undefined,Units,,96.7
2012,35 to 44,,,,,,,,Undefined,Units,,94.2
2012,45 to 54,,,,,,,,Undefined,Units,,87.8
2012,55 to 64,,,,,,,,Undefined,Units,,77.9
2012,65 to 74,,,,,,,,Undefined,Units,,56.2
2012,75 and over,,,,,,,,Undefined,Units,,22.9
2012,,,,White,,,,,Undefined,Units,,80.7
2012,,,,Mixed/Multiple ethnic background,,,,,Undefined,Units,,92.5
2012,,,,Asian/Asian British,Indian,,,,Undefined,Units,,79.6
2012,,,,Asian/Asian British,Pakistani,,,,Undefined,Units,,77.2
2012,,,,Asian/Asian British,Bangladeshi,,,,Undefined,Units,,68.6
2012,,,,Asian/Asian British,Chinese,,,,Undefined,Units,,92.0
2012,,,,Asian/Asian British,Any other Asian background,,,,Undefined,Units,,86.7
2012,,,,Black/African/Caribbean/Black British,,,,,Undefined,Units,,82.8
2012,,,,Other ethnic group,,,,,Undefined,Units,,86.9
2013,,,,,,,,,Undefined,Units,,83.3
2013,16 to 24,,,,,,,,Undefined,Units,,98.3
2013,25 to 34,,,,,,,,Undefined,Units,,97.7
2013,35 to 44,,,,,,,,Undefined,Units,,95.8
2013,45 to 54,,,,,,,,Undefined,Units,,90.2
2013,55 to 64,,,,,,,,Undefined,Units,,81.3
2013,65 to 74,,,,,,,,Undefined,Units,,61.1
2013,75 and over,,,,,,,,Undefined,Units,,29.1
2013,,,,White,,,,,Undefined,Units,,82.9
2013,,,,Mixed/Multiple ethnic background,,,,,Undefined,Units,,95.1
2013,,,,Asian/Asian British,Indian,,,,Undefined,Units,,84.2
2013,,,,Asian/Asian British,Pakistani,,,,Undefined,Units,,79.5
2013,,,,Asian/Asian British,Bangladeshi,,,,Undefined,Units,,82.5
2013,,,,Asian/Asian British,Chinese,,,,Undefined,Units,,93.6
2013,,,,Asian/Asian British,Any other Asian background,,,,Undefined,Units,,91.3
2013,,,,Black/African/Caribbean/Black British,,,,,Undefined,Units,,86.2
2013,,,,Other ethnic group,,,,,Undefined,Units,,87.9
2014,,,,,,,,,Undefined,Units,,85.0
2014,16 to 24,,,,,,,,Undefined,Units,,98.9
2014,25 to 34,,,,,,,,Undefined,Units,,98.3
2014,35 to 44,,,,,,,,Undefined,Units,,96.7
2014,45 to 54,,,,,,,,Undefined,Units,,92.3
2014,55 to 64,,,,,,,,Undefined,Units,,84.2
