Year,COMMENT_OBS,SERIES,UNIT_MEASURE,BASE_PER,Value
2017,"Net Disbursements; Based on OECD, DAC database, 2021; Including imputed multilateral",DC_ODA_LDCG,PT,,0.23
2018,"Net Disbursements; Based on OECD, DAC database, 2021; Including imputed multilateral",DC_ODA_LDCG,PT,,0.23
2019,"Net Disbursements; Based on OECD, DAC database, 2021; Including imputed multilateral",DC_ODA_LDCG,PT,,0.21
2000,"Net Disbursements; Based on OECD, DAC database, 2021; Constant 2019 USD million; Including imputed multilateral",DC_ODA_LDCS,CON_USD,2019,1901.0
2001,"Net Disbursements; Based on OECD, DAC database, 2021; Constant 2019 USD million; Including imputed multilateral",DC_ODA_LDCS,CON_USD,2019,2200.0
2002,"Net Disbursements; Based on OECD, DAC database, 2021; Constant 2019 USD million; Including imputed multilateral",DC_ODA_LDCS,CON_USD,2019,1641.0
2003,"Net Disbursements; Based on OECD, DAC database, 2021; Constant 2019 USD million; Including imputed multilateral",DC_ODA_LDCS,CON_USD,2019,2556.0
2004,"Net Disbursements; Based on OECD, DAC database, 2021; Constant 2019 USD million; Including imputed multilateral",DC_ODA_LDCS,CON_USD,2019,2938.0
2005,"Net Disbursements; Based on OECD, DAC database, 2021; Constant 2019 USD million; Including imputed multilateral",DC_ODA_LDCS,CON_USD,2019,2547.0
2006,"Net Disbursements; Based on OECD, DAC database, 2021; Constant 2019 USD million; Including imputed multilateral",DC_ODA_LDCS,CON_USD,2019,3418.0
2007,"Net Disbursements; Based on OECD, DAC database, 2021; Constant 2019 USD million; Including imputed multilateral",DC_ODA_LDCS,CON_USD,2019,3238.0
2008,"Net Disbursements; Based on OECD, DAC database, 2021; Constant 2019 USD million; Including imputed multilateral",DC_ODA_LDCS,CON_USD,2019,3673.0
2009,"Net Disbursements; Based on OECD, DAC database, 2021; Constant 2019 USD million; Including imputed multilateral",DC_ODA_LDCS,CON_USD,2019,3830.0
2010,"Net Disbursements; Based on OECD, DAC database, 2021; Constant 2019 USD million; Including imputed multilateral",DC_ODA_LDCS,CON_USD,2019,4532.0
2011,"Net Disbursements; Based on OECD, DAC database, 2021; Constant 2019 USD million; Including imputed multilateral",DC_ODA_LDCS,CON_USD,2019,4758.0
2012,"Net Disbursements; Based on OECD, DAC database, 2021; Constant 2019 USD million; Including imputed multilateral",DC_ODA_LDCS,CON_USD,2019,4208.0
2013,"Net Disbursements; Based on OECD, DAC database, 2021; Constant 2019 USD million; Including imputed multilateral",DC_ODA_LDCS,CON_USD,2019,5624.0
2014,"Net Disbursements; Based on OECD, DAC database, 2021; Constant 2019 USD million; Including imputed multilateral",DC_ODA_LDCS,CON_USD,2019,5608.0
2015,"Net Disbursements; Based on OECD, DAC database, 2021; Constant 2019 USD million; Including imputed multilateral",DC_ODA_LDCS,CON_USD,2019,5554.0
