Year,SERIES,Country income classification,Aid description (CRS code),OBS_STATUS,UNIT_MULT,UNIT_MEASURE,REPORTING_TYPE,Value
2014,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",LMICs,Medical research,Normal value,Thousands,GBP,National,705.33388
2014,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",LMICs,,Normal value,Thousands,GBP,National,61491.57417
2015,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",LMICs,Basic health,Normal value,Thousands,GBP,National,43137.45287
2015,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",LMICs,Medical research,Normal value,Thousands,GBP,National,2864.34777
2015,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",LMICs,,Normal value,Thousands,GBP,National,46001.80064
2016,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",LMICs,Basic health,Normal value,Thousands,GBP,National,73135.60124
2016,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",LMICs,Medical research,Normal value,Thousands,GBP,National,3618.93917
2016,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",LMICs,,Normal value,Thousands,GBP,National,76754.54041
2017,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",LMICs,Basic health,Normal value,Thousands,GBP,National,111111.833
2017,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",LMICs,Medical research,Normal value,Thousands,GBP,National,16281.6024
2017,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",LMICs,,Normal value,Thousands,GBP,National,127393.4354
2018,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",LMICs,Basic health,Normal value,Thousands,GBP,National,81136.07433
2018,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",LMICs,Medical research,Normal value,Thousands,GBP,National,21256.0666
2018,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",LMICs,,Normal value,Thousands,GBP,National,102392.1409
2019,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",LMICs,Basic health,Normal value,Thousands,GBP,National,47038.17289
2019,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",LMICs,Medical research,Normal value,Thousands,GBP,National,21924.09695
2019,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",LMICs,,Normal value,Thousands,GBP,National,68962.26984
2020,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",LMICs,Basic health,Normal value,Thousands,GBP,National,58742.25876
2020,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",LMICs,Medical research,Normal value,Thousands,GBP,National,15523.04069
2020,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",LMICs,,Normal value,Thousands,GBP,National,74265.29945
2009,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",Other LICs,Basic health,Normal value,Thousands,GBP,National,59797.06
2009,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",Other LICs,Medical research,Normal value,Thousands,GBP,National,451.85
2009,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",Other LICs,,Normal value,Thousands,GBP,National,60248.91
2010,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",Other LICs,Basic health,Normal value,Thousands,GBP,National,77054.87892
2010,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",Other LICs,Medical research,Normal value,Thousands,GBP,National,2308.45345
2010,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",Other LICs,,Normal value,Thousands,GBP,National,79363.33237
2011,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",Other LICs,Basic health,Normal value,Thousands,GBP,National,20595.5125
2011,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",Other LICs,Medical research,Normal value,Thousands,GBP,National,1781.109386
2011,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",Other LICs,,Normal value,Thousands,GBP,National,22376.62189
2012,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",Other LICs,Basic health,Normal value,Thousands,GBP,National,13408.86045
2012,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",Other LICs,Medical research,Normal value,Thousands,GBP,National,2031.866211
2012,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",Other LICs,,Normal value,Thousands,GBP,National,15440.72666
2013,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",Other LICs,Basic health,Normal value,Thousands,GBP,National,14691.81255
2013,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",Other LICs,Medical research,Normal value,Thousands,GBP,National,897.88883
2013,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",Other LICs,,Normal value,Thousands,GBP,National,15589.70138
2014,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",Other LICs,Basic health,Normal value,Thousands,GBP,National,7689.493452
2014,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",Other LICs,Medical research,Normal value,Thousands,GBP,National,1466.7556
2014,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",Other LICs,,Normal value,Thousands,GBP,National,9156.249052
2015,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",Other LICs,Basic health,Normal value,Thousands,GBP,National,10275.36788
2015,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",Other LICs,Medical research,Normal value,Thousands,GBP,National,11.23115
2015,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",Other LICs,,Normal value,Thousands,GBP,National,10286.59903
2016,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",Other LICs,Basic health,Normal value,Thousands,GBP,National,11142.12085
2016,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",Other LICs,Medical research,Normal value,Thousands,GBP,National,105.1804
2016,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",Other LICs,,Normal value,Thousands,GBP,National,11247.30125
2017,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",Other LICs,Basic health,Normal value,Thousands,GBP,National,26165.19601
2017,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",Other LICs,Medical research,Normal value,Thousands,GBP,National,5220.263825
2017,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",Other LICs,,Normal value,Thousands,GBP,National,31385.45983
2018,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",Other LICs,Basic health,Normal value,Thousands,GBP,National,17497.81664
2018,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",Other LICs,Medical research,Normal value,Thousands,GBP,National,511.80668
2018,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",Other LICs,,Normal value,Thousands,GBP,National,18009.62332
2019,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",Other LICs,Basic health,Normal value,Thousands,GBP,National,20491.00424
2019,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",Other LICs,Medical research,Normal value,Thousands,GBP,National,626.3712
2019,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",Other LICs,,Normal value,Thousands,GBP,National,21117.37544
2020,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",Other LICs,Basic health,Normal value,Thousands,GBP,National,21163.86165
2020,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",Other LICs,Medical research,Normal value,Thousands,GBP,National,578.973442
2020,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",Other LICs,,Normal value,Thousands,GBP,National,21742.83509
2009,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",UMICs,Basic health,Normal value,Thousands,GBP,National,773.25
2009,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",UMICs,,Normal value,Thousands,GBP,National,773.25
2010,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",UMICs,Basic health,Normal value,Thousands,GBP,National,223.09498
2010,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",UMICs,,Normal value,Thousands,GBP,National,223.09498
2011,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",UMICs,Basic health,Normal value,Thousands,GBP,National,2193.35735
2011,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",UMICs,Medical research,Normal value,Thousands,GBP,National,2353.567797
2011,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",UMICs,,Normal value,Thousands,GBP,National,4546.925147
2012,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",UMICs,Basic health,Normal value,Thousands,GBP,National,2161.05234
2012,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",UMICs,Medical research,Normal value,Thousands,GBP,National,1866.863187
2012,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",UMICs,,Normal value,Thousands,GBP,National,4027.915527
2013,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",UMICs,Basic health,Normal value,Thousands,GBP,National,12539.96845
2013,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",UMICs,Medical research,Normal value,Thousands,GBP,National,1280.881494
2013,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",UMICs,,Normal value,Thousands,GBP,National,13820.84994
2014,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",UMICs,Basic health,Normal value,Thousands,GBP,National,405.710951
2014,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",UMICs,,Normal value,Thousands,GBP,National,405.710951
2015,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",UMICs,Basic health,Normal value,Thousands,GBP,National,1838.825647
2015,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",UMICs,Medical research,Normal value,Thousands,GBP,National,4604.096188
2015,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",UMICs,,Normal value,Thousands,GBP,National,6442.921835
2016,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",UMICs,Basic health,Normal value,Thousands,GBP,National,7965.071329
2016,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",UMICs,Medical research,Normal value,Thousands,GBP,National,6569.129616
2016,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",UMICs,,Normal value,Thousands,GBP,National,14534.20095
2017,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",UMICs,Basic health,Normal value,Thousands,GBP,National,2275.950388
2017,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",UMICs,Medical research,Normal value,Thousands,GBP,National,15031.77613
2017,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",UMICs,,Normal value,Thousands,GBP,National,17307.72652
2018,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",UMICs,Basic health,Normal value,Thousands,GBP,National,1803.744931
2018,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",UMICs,Medical research,Normal value,Thousands,GBP,National,22710.30084
2018,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",UMICs,,Normal value,Thousands,GBP,National,24514.04577
2019,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",UMICs,Basic health,Normal value,Thousands,GBP,National,4130.45584
2019,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",UMICs,Medical research,Normal value,Thousands,GBP,National,17625.25371
2019,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",UMICs,,Normal value,Thousands,GBP,National,21755.70955
2020,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",UMICs,Basic health,Normal value,Thousands,GBP,National,11410.41366
2020,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",UMICs,Medical research,Normal value,Thousands,GBP,National,14124.94275
2020,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",UMICs,,Normal value,Thousands,GBP,National,25535.35641
2009,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",Unspecified,Basic health,Normal value,Thousands,GBP,National,93685.34
2009,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",Unspecified,Medical research,Normal value,Thousands,GBP,National,19628.48
2009,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",Unspecified,,Normal value,Thousands,GBP,National,113313.82
2010,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",Unspecified,Basic health,Normal value,Thousands,GBP,National,84164.46252
2010,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",Unspecified,Medical research,Normal value,Thousands,GBP,National,52611.9137
2010,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",Unspecified,,Normal value,Thousands,GBP,National,136776.3762
2011,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",Unspecified,Basic health,Normal value,Thousands,GBP,National,173323.3797
2011,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",Unspecified,Medical research,Normal value,Thousands,GBP,National,54109.90109
2011,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",Unspecified,,Normal value,Thousands,GBP,National,227433.2808
2012,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",Unspecified,Basic health,Normal value,Thousands,GBP,National,147963.1836
2012,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",Unspecified,Medical research,Normal value,Thousands,GBP,National,61312.80145
2012,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",Unspecified,,Normal value,Thousands,GBP,National,209275.985
2013,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",Unspecified,Basic health,Normal value,Thousands,GBP,National,350205.9297
2013,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",Unspecified,Medical research,Normal value,Thousands,GBP,National,70490.44606
2013,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",Unspecified,,Normal value,Thousands,GBP,National,420696.3758
2014,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",Unspecified,Basic health,Normal value,Thousands,GBP,National,242479.0324
2014,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",Unspecified,Medical research,Normal value,Thousands,GBP,National,60140.06078
2014,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",Unspecified,,Normal value,Thousands,GBP,National,302619.0932
2015,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",Unspecified,Basic health,Normal value,Thousands,GBP,National,204576.8147
2015,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",Unspecified,Medical research,Normal value,Thousands,GBP,National,75785.37444
2015,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",Unspecified,,Normal value,Thousands,GBP,National,280362.1892
2016,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",Unspecified,Basic health,Normal value,Thousands,GBP,National,168043.1232
2016,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",Unspecified,Medical research,Normal value,Thousands,GBP,National,81158.69228
