Year,SERIES,Country income classification,Aid description (CRS code),OBS_STATUS,UNIT_MULT,UNIT_MEASURE,REPORTING_TYPE,Value
2020,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",Unspecified,,Normal value,Thousands,Constant USD,National,957782.88
2009,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",,,Normal value,Thousands,Constant USD,National,417238.5008
2010,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",,,Normal value,Thousands,Constant USD,National,487382.5057
2011,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",,,Normal value,Thousands,Constant USD,National,721419.0151
2012,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",,,Normal value,Thousands,Constant USD,National,806060.6463
2013,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",,,Normal value,Thousands,Constant USD,National,1161426.228
2014,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",,,Normal value,Thousands,Constant USD,National,911839.8585
2015,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",,,Normal value,Thousands,Constant USD,National,753771.3231
2016,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",,,Normal value,Thousands,Constant USD,National,805670.9665
2017,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",,,Normal value,Thousands,Constant USD,National,1022654.2
2018,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",,,Normal value,Thousands,Constant USD,National,1016045.584
2019,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",,,Normal value,Thousands,Constant USD,National,1049493.218
2020,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",,,Normal value,Thousands,Constant USD,National,1337595.186
